Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,30,2.640,1763430613887313.520	,1763430613887316.160	
0,triton_kernel_add,AI_VECTOR_CORE,14,31,3.320,1763430613887580.300	,1763430613887583.620	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,32,2.680,1763430613887737.080	,1763430613887739.760	
0,triton_kernel_add,AI_VECTOR_CORE,14,33,3.320,1763430613887942.200	,1763430613887945.520	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,34,2.640,1763430613888086.600	,1763430613888089.240	
0,triton_kernel_add,AI_VECTOR_CORE,14,35,3.300,1763430613888289.880	,1763430613888293.180	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,36,2.720,1763430613888472.700	,1763430613888475.420	
0,triton_kernel_add,AI_VECTOR_CORE,14,37,3.320,1763430613888678.080	,1763430613888681.400	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,38,2.720,1763430613888825.700	,1763430613888828.420	
0,triton_kernel_add,AI_VECTOR_CORE,14,39,2.220,1763430613889038.620	,1763430613889040.840	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,40,1.660,1763430613889211.460	,1763430613889213.120	
0,triton_kernel_add,AI_VECTOR_CORE,14,41,1.480,1763430613889409.020	,1763430613889410.500	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,42,2.480,1763430613889577.080	,1763430613889579.560	
0,triton_kernel_add,AI_VECTOR_CORE,14,43,2.000,1763430613889778.880	,1763430613889780.880	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,44,1.720,1763430613889941.420	,1763430613889943.140	
0,triton_kernel_add,AI_VECTOR_CORE,14,45,1.480,1763430613890145.560	,1763430613890147.040	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,46,1.740,1763430613890311.700	,1763430613890313.440	
0,triton_kernel_add,AI_VECTOR_CORE,14,47,1.560,1763430613890521.800	,1763430613890523.360	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,48,1.720,1763430613890684.860	,1763430613890686.580	
