Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,120,2.660,1763430637371210.680	,1763430637371213.340	
0,triton_kernel_add,AI_VECTOR_CORE,14,121,2.480,1763430637371455.240	,1763430637371457.720	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,122,2.600,1763430637371620.140	,1763430637371622.740	
0,triton_kernel_add,AI_VECTOR_CORE,14,123,2.520,1763430637371842.460	,1763430637371844.980	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,124,2.600,1763430637372007.500	,1763430637372010.100	
0,triton_kernel_add,AI_VECTOR_CORE,14,125,2.480,1763430637372231.400	,1763430637372233.880	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,126,2.580,1763430637372415.280	,1763430637372417.860	
0,triton_kernel_add,AI_VECTOR_CORE,14,127,2.720,1763430637372641.500	,1763430637372644.220	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,128,2.640,1763430637372824.720	,1763430637372827.360	
0,triton_kernel_add,AI_VECTOR_CORE,14,129,2.560,1763430637373054.780	,1763430637373057.340	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,130,2.040,1763430637373224.100	,1763430637373226.140	
0,triton_kernel_add,AI_VECTOR_CORE,14,131,1.380,1763430637373451.560	,1763430637373452.940	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,132,2.400,1763430637373616.780	,1763430637373619.180	
0,triton_kernel_add,AI_VECTOR_CORE,14,133,1.460,1763430637373847.840	,1763430637373849.300	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,134,1.600,1763430637374020.680	,1763430637374022.280	
0,triton_kernel_add,AI_VECTOR_CORE,14,135,1.360,1763430637374229.080	,1763430637374230.440	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,136,1.580,1763430637374411.880	,1763430637374413.460	
0,triton_kernel_add,AI_VECTOR_CORE,14,137,1.380,1763430637374638.760	,1763430637374640.140	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,138,1.600,1763430637374820.480	,1763430637374822.080	
0,triton_kernel_add,AI_VECTOR_CORE,14,139,1.380,1763430637375042.140	,1763430637375043.520	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,140,1.660,1763430637375223.400	,1763430637375225.060	
0,triton_kernel_add,AI_VECTOR_CORE,14,141,1.360,1763430637375442.280	,1763430637375443.640	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,142,1.840,1763430637375611.920	,1763430637375613.760	
0,triton_kernel_add,AI_VECTOR_CORE,14,143,1.320,1763430637375846.980	,1763430637375848.300	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,144,1.640,1763430637376004.220	,1763430637376005.860	
0,triton_kernel_add,AI_VECTOR_CORE,14,145,1.300,1763430637376227.940	,1763430637376229.240	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,146,1.560,1763430637376406.300	,1763430637376407.860	
0,triton_kernel_add,AI_VECTOR_CORE,14,147,1.420,1763430637376624.180	,1763430637376625.600	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,148,1.640,1763430637376812.200	,1763430637376813.840	
0,triton_kernel_add,AI_VECTOR_CORE,14,149,1.360,1763430637377018.420	,1763430637377019.780	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,150,1.620,1763430637377197.920	,1763430637377199.540	
0,triton_kernel_add,AI_VECTOR_CORE,14,151,1.360,1763430637377424.360	,1763430637377425.720	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,152,1.640,1763430637377599.960	,1763430637377601.600	
0,triton_kernel_add,AI_VECTOR_CORE,14,153,1.400,1763430637377821.180	,1763430637377822.580	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,154,1.600,1763430637378005.340	,1763430637378006.940	
0,triton_kernel_add,AI_VECTOR_CORE,14,155,1.420,1763430637378222.880	,1763430637378224.300	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,156,1.620,1763430637378400.760	,1763430637378402.380	
0,triton_kernel_add,AI_VECTOR_CORE,14,157,1.620,1763430637378618.740	,1763430637378620.360	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,158,1.660,1763430637378788.160	,1763430637378789.820	
0,triton_kernel_add,AI_VECTOR_CORE,14,159,1.500,1763430637379009.580	,1763430637379011.080	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,160,1.600,1763430637379174.540	,1763430637379176.140	
0,triton_kernel_add,AI_VECTOR_CORE,14,161,1.400,1763430637379392.080	,1763430637379393.480	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,162,1.660,1763430637379570.780	,1763430637379572.440	
0,triton_kernel_add,AI_VECTOR_CORE,14,163,1.440,1763430637379776.420	,1763430637379777.860	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,164,1.640,1763430637379939.340	,1763430637379940.980	
0,triton_kernel_add,AI_VECTOR_CORE,14,165,1.420,1763430637380168.680	,1763430637380170.100	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,166,1.680,1763430637380354.180	,1763430637380355.860	
0,triton_kernel_add,AI_VECTOR_CORE,14,167,1.540,1763430637380584.720	,1763430637380586.260	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,168,1.860,1763430637380752.020	,1763430637380753.880	
0,triton_kernel_add,AI_VECTOR_CORE,14,169,1.500,1763430637380980.920	,1763430637380982.420	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,170,1.700,1763430637381149.100	,1763430637381150.800	
0,triton_kernel_add,AI_VECTOR_CORE,14,171,1.380,1763430637381384.140	,1763430637381385.520	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,172,1.580,1763430637381549.500	,1763430637381551.080	
0,triton_kernel_add,AI_VECTOR_CORE,14,173,1.360,1763430637381769.860	,1763430637381771.220	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,174,1.540,1763430637381936.380	,1763430637381937.920	
