Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,210,14,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763430658549705.582	,2.816,0,1,0,NO,"""1024;1024""",DT_BF16;DT_BF16,ND;ND,"""1024""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.929,1672,0.099,0.106,0.182,0.196,0.144,0.155,0.079,0.086,0.153,0.000
0,4294967295,211,14,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763430658549932.942	,1.600,224.684000,1,0,YES,"""1024;1024""",DT_BF16;DT_BF16,ND;ND,"""1024""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.436,785,0.088,0.203,0.129,0.297,0.079,0.181,0.084,0.192,0.185,0.000
0,4294967295,212,14,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763430658550123.958	,2.240,189.400000,1,0,NO,"""1024;1024""",DT_BF16;DT_BF16,ND;ND,"""1024""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.725,1305,0.099,0.136,0.196,0.27,0.146,0.202,0.086,0.118,0.153,0.000
0,4294967295,213,14,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763430658550319.758	,1.544,193.510000,1,0,YES,"""1024;1024""",DT_BF16;DT_BF16,ND;ND,"""1024""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.415,747,0.088,0.213,0.125,0.301,0.079,0.19,0.074,0.178,0.185,0.000
0,4294967295,214,14,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763430658550488.862	,2.200,167.456000,1,0,NO,"""1024;1024""",DT_BF16;DT_BF16,ND;ND,"""1024""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.707,1273,0.099,0.14,0.197,0.278,0.148,0.21,0.079,0.112,0.153,0.000
0,4294967295,215,14,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763430658550680.022	,1.600,189.050000,1,0,YES,"""1024;1024""",DT_BF16;DT_BF16,ND;ND,"""1024""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,774,0.088,0.205,0.137,0.318,0.079,0.185,0.072,0.167,0.185,0.000
0,4294967295,216,14,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763430658550841.038	,2.160,159.400000,1,0,NO,"""1024;1024""",DT_BF16;DT_BF16,ND;ND,"""1024""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684,1231,0.099,0.145,0.187,0.273,0.146,0.214,0.078,0.115,0.164,0.000
0,4294967295,217,14,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763430658551043.838	,1.600,200.590000,1,0,YES,"""1024;1024""",DT_BF16;DT_BF16,ND;ND,"""1024""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.414,746,0.088,0.213,0.129,0.311,0.078,0.188,0.073,0.176,0.185,0.000
0,4294967295,218,14,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763430658551199.078	,2.224,153.650000,1,0,NO,"""1024;1024""",DT_BF16;DT_BF16,ND;ND,"""1024""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.698,1257,0.099,0.142,0.194,0.278,0.146,0.209,0.077,0.11,0.153,0.000
0,4294967295,219,14,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763430658551419.742	,1.656,218.526000,1,0,YES,"""1024;1024""",DT_BF16;DT_BF16,ND;ND,"""1024""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.434,782,0.088,0.203,0.137,0.316,0.081,0.187,0.074,0.17,0.185,0.000
0,4294967295,220,14,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763430658551569.382	,1.736,148.094000,1,0,NO,"""1024;1024""",DT_BF16;DT_BF16,ND;ND,"""1024""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.473,852,0.099,0.209,0.174,0.369,0.141,0.297,0.078,0.165,0.0,0.000
0,4294967295,221,14,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763430658551784.198	,1.560,213.014000,1,0,YES,"""1024;1024""",DT_BF16;DT_BF16,ND;ND,"""1024""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.386,695,0.088,0.229,0.133,0.345,0.079,0.204,0.076,0.196,0.0,0.000
0,4294967295,222,14,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763430658551929.622	,2.280,143.690000,1,0,NO,"""1024;1024""",DT_BF16;DT_BF16,ND;ND,"""1024""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.704,1267,0.099,0.14,0.194,0.275,0.146,0.208,0.08,0.114,0.164,0.000
0,4294967295,223,14,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763430658552144.118	,1.584,212.220000,1,0,YES,"""1024;1024""",DT_BF16;DT_BF16,ND;ND,"""1024""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.428,771,0.088,0.206,0.134,0.314,0.077,0.18,0.078,0.183,0.185,0.000
0,4294967295,224,14,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763430658552295.822	,1.680,150.166000,1,0,NO,"""1024;1024""",DT_BF16;DT_BF16,ND;ND,"""1024""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.477,858,0.099,0.207,0.178,0.374,0.143,0.301,0.08,0.168,0.0,0.000
0,4294967295,225,14,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763430658552522.262	,1.496,224.820000,1,0,YES,"""1024;1024""",DT_BF16;DT_BF16,ND;ND,"""1024""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.384,692,0.088,0.23,0.136,0.353,0.08,0.208,0.076,0.197,0.0,0.000
0,4294967295,226,14,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763430658552680.678	,1.680,157.004000,1,0,NO,"""1024;1024""",DT_BF16;DT_BF16,ND;ND,"""1024""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.469,845,0.099,0.211,0.175,0.373,0.141,0.301,0.077,0.164,0.0,0.000
0,4294967295,227,14,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763430658552890.782	,1.560,208.320000,1,0,YES,"""1024;1024""",DT_BF16;DT_BF16,ND;ND,"""1024""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,702,0.088,0.226,0.129,0.33,0.081,0.207,0.082,0.211,0.0,0.000
