Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,210,2.816,1763430658549705.582	,1763430658549708.398	
0,triton_kernel_add,AI_VECTOR_CORE,14,211,1.600,1763430658549932.942	,1763430658549934.542	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,212,2.240,1763430658550123.958	,1763430658550126.198	
0,triton_kernel_add,AI_VECTOR_CORE,14,213,1.544,1763430658550319.758	,1763430658550321.302	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,214,2.200,1763430658550488.862	,1763430658550491.062	
0,triton_kernel_add,AI_VECTOR_CORE,14,215,1.600,1763430658550680.022	,1763430658550681.622	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,216,2.160,1763430658550841.038	,1763430658550843.198	
0,triton_kernel_add,AI_VECTOR_CORE,14,217,1.600,1763430658551043.838	,1763430658551045.438	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,218,2.224,1763430658551199.078	,1763430658551201.302	
0,triton_kernel_add,AI_VECTOR_CORE,14,219,1.656,1763430658551419.742	,1763430658551421.398	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,220,1.736,1763430658551569.382	,1763430658551571.118	
0,triton_kernel_add,AI_VECTOR_CORE,14,221,1.560,1763430658551784.198	,1763430658551785.758	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,222,2.280,1763430658551929.622	,1763430658551931.902	
0,triton_kernel_add,AI_VECTOR_CORE,14,223,1.584,1763430658552144.118	,1763430658552145.702	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,224,1.680,1763430658552295.822	,1763430658552297.502	
0,triton_kernel_add,AI_VECTOR_CORE,14,225,1.496,1763430658552522.262	,1763430658552523.758	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,226,1.680,1763430658552680.678	,1763430658552682.358	
0,triton_kernel_add,AI_VECTOR_CORE,14,227,1.560,1763430658552890.782	,1763430658552892.342	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,228,1.784,1763430658553068.958	,1763430658553070.742	
0,triton_kernel_add,AI_VECTOR_CORE,14,229,1.480,1763430658553259.358	,1763430658553260.838	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,230,1.680,1763430658553428.238	,1763430658553429.918	
0,triton_kernel_add,AI_VECTOR_CORE,14,231,1.504,1763430658553630.958	,1763430658553632.462	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,232,1.704,1763430658553785.758	,1763430658553787.462	
0,triton_kernel_add,AI_VECTOR_CORE,14,233,1.496,1763430658553993.302	,1763430658553994.798	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,234,1.720,1763430658554139.998	,1763430658554141.718	
0,triton_kernel_add,AI_VECTOR_CORE,14,235,1.560,1763430658554356.238	,1763430658554357.798	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,236,1.760,1763430658554507.942	,1763430658554509.702	
