Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,300,14,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763430681080206.348	,2.240,0,2,0,NO,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.569,5649,0.432,0.275,0.573,0.365,0.227,0.145,0.139,0.088,0.103,0.000
0,4294967295,301,14,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763430681081510.348	,21.424,1301.760000,1,0,YES,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.858,37545,0.008,0.0,20.408,0.978,0.171,0.008,0.142,0.007,0.238,0.000
0,4294967295,302,14,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763430681081716.428	,2.560,184.826000,2,0,NO,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.783,6420,0.432,0.242,0.782,0.438,0.244,0.137,0.143,0.08,0.107,0.000
0,4294967295,303,14,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763430681081982.852	,21.720,263.690000,1,0,YES,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.182,38128,0.008,0.0,20.416,0.964,0.173,0.008,0.144,0.007,0.238,0.000
0,4294967295,304,14,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763430681082132.812	,2.496,128.280000,2,0,NO,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.713,6168,0.432,0.252,0.703,0.41,0.253,0.148,0.15,0.088,0.113,0.000
0,4294967295,305,14,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763430681082333.812	,21.360,198.504000,1,0,YES,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.846,37522,0.008,0.0,20.391,0.978,0.166,0.008,0.142,0.007,0.238,0.000
0,4294967295,306,14,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763430681082479.228	,2.344,124.140000,2,0,NO,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,6337,0.432,0.246,0.715,0.406,0.252,0.143,0.143,0.081,0.112,0.000
0,4294967295,307,14,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763430681082690.028	,21.624,208.406000,1,0,YES,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.092,37966,0.008,0.0,20.426,0.968,0.176,0.008,0.139,0.007,0.238,0.000
0,4294967295,308,14,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763430681082841.828	,2.624,130.126000,2,0,NO,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.729,6223,0.432,0.25,0.714,0.413,0.244,0.141,0.139,0.081,0.116,0.000
0,4294967295,309,14,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763430681083038.988	,21.424,194.626000,1,0,YES,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.878,37580,0.008,0.0,20.415,0.978,0.167,0.008,0.139,0.007,0.238,0.000
