Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,390,14,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763430702493973.570	,2.020,0,1,0,NO,"""1024;1024""",INT32;INT32,ND;ND,"""1024""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602,1084,0.032,0.054,0.168,0.279,0.149,0.248,0.089,0.149,0.15,0.000
0,4294967295,391,14,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763430702494195.670	,1.600,220.230000,1,0,YES,"""1024;1024""",INT32;INT32,ND;ND,"""1024""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.409,737,0.039,0.095,0.117,0.286,0.097,0.236,0.09,0.22,0.263,0.000
0,4294967295,392,14,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763430702494349.370	,2.080,151.900000,1,0,NO,"""1024;1024""",INT32;INT32,ND;ND,"""1024""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.624,1123,0.032,0.052,0.175,0.28,0.151,0.242,0.089,0.143,0.15,0.000
0,4294967295,393,14,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763430702494566.710	,1.660,215.420000,1,0,YES,"""1024;1024""",INT32;INT32,ND;ND,"""1024""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.441,793,0.039,0.088,0.151,0.343,0.097,0.219,0.09,0.204,0.263,0.000
0,4294967295,394,14,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763430702494719.230	,2.240,150.840000,1,0,NO,"""1024;1024""",INT32;INT32,ND;ND,"""1024""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.692,1246,0.032,0.047,0.223,0.322,0.151,0.217,0.089,0.129,0.138,0.000
0,4294967295,395,14,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763430702494910.530	,1.600,189.010000,1,0,YES,"""1024;1024""",INT32;INT32,ND;ND,"""1024""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.402,724,0.039,0.097,0.11,0.273,0.097,0.24,0.089,0.222,0.263,0.000
0,4294967295,396,14,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763430702495055.210	,2.120,143.150000,1,0,NO,"""1024;1024""",INT32;INT32,ND;ND,"""1024""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.657,1182,0.032,0.049,0.176,0.268,0.155,0.236,0.088,0.134,0.138,0.000
0,4294967295,397,14,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763430702495254.890	,1.600,197.630000,1,0,YES,"""1024;1024""",INT32;INT32,ND;ND,"""1024""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.427,768,0.039,0.091,0.128,0.299,0.094,0.221,0.092,0.216,0.263,0.000
0,4294967295,398,14,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763430702495414.030	,2.000,157.400000,1,0,NO,"""1024;1024""",INT32;INT32,ND;ND,"""1024""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.606,1091,0.032,0.053,0.161,0.266,0.153,0.252,0.087,0.143,0.148,0.000
0,4294967295,399,14,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763430702495610.370	,1.580,194.250000,1,0,YES,"""1024;1024""",INT32;INT32,ND;ND,"""1024""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.412,742,0.039,0.094,0.114,0.276,0.093,0.226,0.089,0.217,0.263,0.000
