Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,390,2.020,1763430702493973.570	,1763430702493975.590	
0,triton_kernel_add,AI_VECTOR_CORE,14,391,1.600,1763430702494195.670	,1763430702494197.270	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,392,2.080,1763430702494349.370	,1763430702494351.450	
0,triton_kernel_add,AI_VECTOR_CORE,14,393,1.660,1763430702494566.710	,1763430702494568.370	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,394,2.240,1763430702494719.230	,1763430702494721.470	
0,triton_kernel_add,AI_VECTOR_CORE,14,395,1.600,1763430702494910.530	,1763430702494912.130	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,396,2.120,1763430702495055.210	,1763430702495057.330	
0,triton_kernel_add,AI_VECTOR_CORE,14,397,1.600,1763430702495254.890	,1763430702495256.490	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,398,2.000,1763430702495414.030	,1763430702495416.030	
0,triton_kernel_add,AI_VECTOR_CORE,14,399,1.580,1763430702495610.370	,1763430702495611.950	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,400,1.700,1763430702495769.250	,1763430702495770.950	
0,triton_kernel_add,AI_VECTOR_CORE,14,401,1.500,1763430702495981.590	,1763430702495983.090	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,402,2.120,1763430702496127.090	,1763430702496129.210	
0,triton_kernel_add,AI_VECTOR_CORE,14,403,1.600,1763430702496330.890	,1763430702496332.490	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,404,1.780,1763430702496500.290	,1763430702496502.070	
0,triton_kernel_add,AI_VECTOR_CORE,14,405,1.540,1763430702496682.890	,1763430702496684.430	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,406,1.760,1763430702496825.190	,1763430702496826.950	
0,triton_kernel_add,AI_VECTOR_CORE,14,407,1.560,1763430702497024.610	,1763430702497026.170	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,408,1.640,1763430702497187.130	,1763430702497188.770	
0,triton_kernel_add,AI_VECTOR_CORE,14,409,1.420,1763430702497383.510	,1763430702497384.930	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,410,1.660,1763430702497531.550	,1763430702497533.210	
0,triton_kernel_add,AI_VECTOR_CORE,14,411,1.420,1763430702497725.470	,1763430702497726.890	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,412,1.640,1763430702497882.090	,1763430702497883.730	
0,triton_kernel_add,AI_VECTOR_CORE,14,413,1.420,1763430702498074.850	,1763430702498076.270	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,414,1.680,1763430702498216.850	,1763430702498218.530	
0,triton_kernel_add,AI_VECTOR_CORE,14,415,1.460,1763430702498426.170	,1763430702498427.630	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,416,1.700,1763430702498565.550	,1763430702498567.250	
0,triton_kernel_add,AI_VECTOR_CORE,14,417,1.480,1763430702498760.290	,1763430702498761.770	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,418,1.700,1763430702498911.070	,1763430702498912.770	
0,triton_kernel_add,AI_VECTOR_CORE,14,419,1.480,1763430702499093.370	,1763430702499094.850	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,420,1.620,1763430702499233.970	,1763430702499235.590	
0,triton_kernel_add,AI_VECTOR_CORE,14,421,1.420,1763430702499429.710	,1763430702499431.130	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,422,1.600,1763430702499579.850	,1763430702499581.450	
0,triton_kernel_add,AI_VECTOR_CORE,14,423,1.420,1763430702499787.250	,1763430702499788.670	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,424,1.700,1763430702499935.710	,1763430702499937.410	
0,triton_kernel_add,AI_VECTOR_CORE,14,425,1.480,1763430702500136.370	,1763430702500137.850	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,426,1.640,1763430702500278.510	,1763430702500280.150	
0,triton_kernel_add,AI_VECTOR_CORE,14,427,1.440,1763430702500494.170	,1763430702500495.610	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,428,1.640,1763430702500632.390	,1763430702500634.030	
0,triton_kernel_add,AI_VECTOR_CORE,14,429,1.460,1763430702500829.450	,1763430702500830.910	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,430,1.660,1763430702500982.350	,1763430702500984.010	
0,triton_kernel_add,AI_VECTOR_CORE,14,431,1.460,1763430702501177.030	,1763430702501178.490	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,432,1.700,1763430702501328.990	,1763430702501330.690	
0,triton_kernel_add,AI_VECTOR_CORE,14,433,1.520,1763430702501522.570	,1763430702501524.090	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,434,1.740,1763430702501678.170	,1763430702501679.910	
0,triton_kernel_add,AI_VECTOR_CORE,14,435,1.560,1763430702501873.930	,1763430702501875.490	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,436,1.680,1763430702502039.170	,1763430702502040.850	
0,triton_kernel_add,AI_VECTOR_CORE,14,437,1.440,1763430702502231.610	,1763430702502233.050	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,438,1.860,1763430702502392.910	,1763430702502394.770	
0,triton_kernel_add,AI_VECTOR_CORE,14,439,1.480,1763430702502591.030	,1763430702502592.510	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,440,1.860,1763430702502736.370	,1763430702502738.230	
0,triton_kernel_add,AI_VECTOR_CORE,14,441,1.620,1763430702502925.770	,1763430702502927.390	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,442,1.680,1763430702503084.210	,1763430702503085.890	
0,triton_kernel_add,AI_VECTOR_CORE,14,443,1.500,1763430702503280.630	,1763430702503282.130	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,444,1.700,1763430702503474.450	,1763430702503476.150	
0,triton_kernel_add,AI_VECTOR_CORE,14,445,1.500,1763430702503668.170	,1763430702503669.670	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,446,1.740,1763430702503818.550	,1763430702503820.290	
0,triton_kernel_add,AI_VECTOR_CORE,14,447,1.560,1763430702504007.070	,1763430702504008.630	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,448,1.640,1763430702504145.690	,1763430702504147.330	
0,triton_kernel_add,AI_VECTOR_CORE,14,449,1.460,1763430702504352.210	,1763430702504353.670	
0,N/A,PROFILING_DISABLE,20,15,0.020,1763430702516389.390	,1763430702516389.410	
