Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,480,14,aclnnAdd_AddAiCpu_Add,Add,dynamic,AI_CPU,1763430724131076.100	,50.020,0,0,0,NO,"""1024;1024""",INT16;INT16,ND;ND,"""1024""",INT16,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,481,14,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763430724131311.660	,1.680,185.730000,1,0,NO,"""1024;1024""",INT16;INT16,ND;ND,"""1024""",INT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.445,801,0.03,0.067,0.122,0.273,0.151,0.34,0.083,0.186,0.263,0.000
0,4294967295,482,14,aclnnAdd_AddAiCpu_Add,Add,dynamic,AI_CPU,1763430724131533.280	,43.620,219.820000,0,0,NO,"""1024;1024""",INT16;INT16,ND;ND,"""1024""",INT16,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,483,14,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763430724131749.100	,1.640,172.130000,1,0,NO,"""1024;1024""",INT16;INT16,ND;ND,"""1024""",INT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.453,815,0.03,0.066,0.122,0.27,0.148,0.326,0.082,0.18,0.263,0.000
0,4294967295,484,14,aclnnAdd_AddAiCpu_Add,Add,dynamic,AI_CPU,1763430724131965.580	,49.700,214.860000,0,0,NO,"""1024;1024""",INT16;INT16,ND;ND,"""1024""",INT16,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,485,14,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763430724132177.700	,1.660,162.550000,1,0,NO,"""1024;1024""",INT16;INT16,ND;ND,"""1024""",INT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,810,0.03,0.067,0.117,0.26,0.147,0.327,0.083,0.185,0.263,0.000
0,4294967295,486,14,aclnnAdd_AddAiCpu_Add,Add,dynamic,AI_CPU,1763430724132419.960	,35.380,240.590000,0,0,NO,"""1024;1024""",INT16;INT16,ND;ND,"""1024""",INT16,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,487,14,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763430724132659.640	,1.640,204.370000,1,0,NO,"""1024;1024""",INT16;INT16,ND;ND,"""1024""",INT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.441,794,0.03,0.068,0.12,0.272,0.144,0.326,0.079,0.179,0.263,0.000
0,4294967295,488,14,aclnnAdd_AddAiCpu_Add,Add,dynamic,AI_CPU,1763430724132872.340	,30.920,210.860000,0,0,NO,"""1024;1024""",INT16;INT16,ND;ND,"""1024""",INT16,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,489,14,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763430724133075.920	,1.860,172.830000,1,0,NO,"""1024;1024""",INT16;INT16,ND;ND,"""1024""",INT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.538,969,0.03,0.056,0.191,0.355,0.169,0.314,0.08,0.149,0.263,0.000
0,4294967295,490,14,aclnnAdd_AddAiCpu_Add,Add,dynamic,AI_CPU,1763430724133298.960	,37.540,221.140000,0,0,NO,"""1024;1024""",INT16;INT16,ND;ND,"""1024""",INT16,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,491,14,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763430724133532.220	,1.680,195.710000,1,0,NO,"""1024;1024""",INT16;INT16,ND;ND,"""1024""",INT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.461,830,0.03,0.065,0.119,0.259,0.162,0.352,0.081,0.176,0.263,0.000
0,4294967295,492,14,aclnnAdd_AddAiCpu_Add,Add,dynamic,AI_CPU,1763430724133746.660	,36.360,212.820000,0,0,NO,"""1024;1024""",INT16;INT16,ND;ND,"""1024""",INT16,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,493,14,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763430724133957.300	,1.820,174.140000,1,0,NO,"""1024;1024""",INT16;INT16,ND;ND,"""1024""",INT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.521,938,0.03,0.058,0.194,0.373,0.146,0.279,0.082,0.158,0.263,0.000
0,4294967295,494,14,aclnnAdd_AddAiCpu_Add,Add,dynamic,AI_CPU,1763430724134181.520	,34.320,222.430000,0,0,NO,"""1024;1024""",INT16;INT16,ND;ND,"""1024""",INT16,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
