Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,570,2.560,1763430745849450.980	,1763430745849453.540	
0,triton_kernel_add,AI_VECTOR_CORE,14,571,2.400,1763430745849708.960	,1763430745849711.360	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,572,2.600,1763430745849900.360	,1763430745849902.960	
0,triton_kernel_add,AI_VECTOR_CORE,14,573,2.400,1763430745850119.860	,1763430745850122.260	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,574,2.620,1763430745850312.100	,1763430745850314.720	
0,triton_kernel_add,AI_VECTOR_CORE,14,575,2.300,1763430745850529.240	,1763430745850531.540	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,576,2.520,1763430745850694.520	,1763430745850697.040	
0,triton_kernel_add,AI_VECTOR_CORE,14,577,2.320,1763430745850907.080	,1763430745850909.400	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,578,2.460,1763430745851077.820	,1763430745851080.280	
0,triton_kernel_add,AI_VECTOR_CORE,14,579,2.360,1763430745851289.060	,1763430745851291.420	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,580,2.500,1763430745851479.160	,1763430745851481.660	
0,triton_kernel_add,AI_VECTOR_CORE,14,581,2.380,1763430745851712.360	,1763430745851714.740	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,582,2.700,1763430745851884.320	,1763430745851887.020	
0,triton_kernel_add,AI_VECTOR_CORE,14,583,2.380,1763430745852103.040	,1763430745852105.420	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,584,2.060,1763430745852263.920	,1763430745852265.980	
0,triton_kernel_add,AI_VECTOR_CORE,14,585,2.300,1763430745852490.680	,1763430745852492.980	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,586,1.980,1763430745852655.920	,1763430745852657.900	
0,triton_kernel_add,AI_VECTOR_CORE,14,587,2.220,1763430745852854.200	,1763430745852856.420	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,588,1.940,1763430745853024.320	,1763430745853026.260	
0,triton_kernel_add,AI_VECTOR_CORE,14,589,2.180,1763430745853248.440	,1763430745853250.620	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,590,2.040,1763430745853419.280	,1763430745853421.320	
0,triton_kernel_add,AI_VECTOR_CORE,14,591,2.260,1763430745853633.500	,1763430745853635.760	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,592,2.000,1763430745853798.460	,1763430745853800.460	
0,triton_kernel_add,AI_VECTOR_CORE,14,593,2.180,1763430745854007.160	,1763430745854009.340	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,594,2.000,1763430745854166.220	,1763430745854168.220	
0,triton_kernel_add,AI_VECTOR_CORE,14,595,2.180,1763430745854374.160	,1763430745854376.340	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,596,2.040,1763430745854573.620	,1763430745854575.660	
0,triton_kernel_add,AI_VECTOR_CORE,14,597,2.240,1763430745854787.220	,1763430745854789.460	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,14,598,2.080,1763430745854978.980	,1763430745854981.060	
