Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,14,660,2.016,1763430767334728.642	,1763430767334730.658	
0,triton_kernel_or,AI_VECTOR_CORE,14,661,1.456,1763430767334953.042	,1763430767334954.498	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,14,662,2.016,1763430767335111.522	,1763430767335113.538	
0,triton_kernel_or,AI_VECTOR_CORE,14,663,1.480,1763430767335323.562	,1763430767335325.042	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,14,664,2.000,1763430767335468.778	,1763430767335470.778	
0,triton_kernel_or,AI_VECTOR_CORE,14,665,1.504,1763430767335669.258	,1763430767335670.762	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,14,666,1.944,1763430767335811.018	,1763430767335812.962	
0,triton_kernel_or,AI_VECTOR_CORE,14,667,1.360,1763430767336012.082	,1763430767336013.442	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,14,668,2.000,1763430767336174.242	,1763430767336176.242	
0,triton_kernel_or,AI_VECTOR_CORE,14,669,1.376,1763430767336368.282	,1763430767336369.658	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,14,670,2.064,1763430767336534.578	,1763430767336536.642	
0,triton_kernel_or,AI_VECTOR_CORE,14,671,1.520,1763430767336745.162	,1763430767336746.682	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,14,672,2.144,1763430767336894.538	,1763430767336896.682	
0,triton_kernel_or,AI_VECTOR_CORE,14,673,1.416,1763430767337084.202	,1763430767337085.618	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,14,674,1.640,1763430767337225.658	,1763430767337227.298	
0,triton_kernel_or,AI_VECTOR_CORE,14,675,1.336,1763430767337414.002	,1763430767337415.338	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,14,676,1.640,1763430767337564.058	,1763430767337565.698	
0,triton_kernel_or,AI_VECTOR_CORE,14,677,1.344,1763430767337748.498	,1763430767337749.842	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,14,678,1.664,1763430767337891.498	,1763430767337893.162	
0,triton_kernel_or,AI_VECTOR_CORE,14,679,1.360,1763430767338097.042	,1763430767338098.402	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,14,680,1.680,1763430767338245.698	,1763430767338247.378	
0,triton_kernel_or,AI_VECTOR_CORE,14,681,1.384,1763430767338434.298	,1763430767338435.682	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,14,682,1.736,1763430767338604.242	,1763430767338605.978	
0,triton_kernel_or,AI_VECTOR_CORE,14,683,1.320,1763430767338787.602	,1763430767338788.922	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,14,684,1.616,1763430767338946.562	,1763430767338948.178	
0,triton_kernel_or,AI_VECTOR_CORE,14,685,1.320,1763430767339140.162	,1763430767339141.482	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,14,686,1.800,1763430767339285.818	,1763430767339287.618	
0,triton_kernel_or,AI_VECTOR_CORE,14,687,1.344,1763430767339485.058	,1763430767339486.402	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,14,688,1.696,1763430767339631.042	,1763430767339632.738	
0,triton_kernel_or,AI_VECTOR_CORE,14,689,1.360,1763430767339821.738	,1763430767339823.098	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,14,690,1.720,1763430767339984.538	,1763430767339986.258	
0,triton_kernel_or,AI_VECTOR_CORE,14,691,1.440,1763430767340174.402	,1763430767340175.842	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,14,692,1.736,1763430767340332.242	,1763430767340333.978	
0,triton_kernel_or,AI_VECTOR_CORE,14,693,1.440,1763430767340540.562	,1763430767340542.002	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,14,694,1.760,1763430767340712.922	,1763430767340714.682	
0,triton_kernel_or,AI_VECTOR_CORE,14,695,1.456,1763430767340899.722	,1763430767340901.178	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,14,696,1.616,1763430767341049.242	,1763430767341050.858	
0,triton_kernel_or,AI_VECTOR_CORE,14,697,1.320,1763430767341244.682	,1763430767341246.002	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,14,698,1.600,1763430767341381.658	,1763430767341383.258	
0,triton_kernel_or,AI_VECTOR_CORE,14,699,1.304,1763430767341577.018	,1763430767341578.322	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,14,700,1.640,1763430767341736.922	,1763430767341738.562	
0,triton_kernel_or,AI_VECTOR_CORE,14,701,1.360,1763430767341939.978	,1763430767341941.338	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,14,702,1.664,1763430767342085.738	,1763430767342087.402	
0,triton_kernel_or,AI_VECTOR_CORE,14,703,1.336,1763430767342281.962	,1763430767342283.298	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,14,704,1.640,1763430767342430.898	,1763430767342432.538	
0,triton_kernel_or,AI_VECTOR_CORE,14,705,1.384,1763430767342618.538	,1763430767342619.922	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,14,706,1.744,1763430767342780.538	,1763430767342782.282	
0,triton_kernel_or,AI_VECTOR_CORE,14,707,1.296,1763430767342982.162	,1763430767342983.458	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,14,708,1.584,1763430767343147.498	,1763430767343149.082	
0,triton_kernel_or,AI_VECTOR_CORE,14,709,1.304,1763430767343344.058	,1763430767343345.362	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,14,710,1.600,1763430767343492.802	,1763430767343494.402	
0,triton_kernel_or,AI_VECTOR_CORE,14,711,1.384,1763430767343690.458	,1763430767343691.842	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,14,712,1.704,1763430767343845.498	,1763430767343847.202	
0,triton_kernel_or,AI_VECTOR_CORE,14,713,1.304,1763430767344035.578	,1763430767344036.882	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,14,714,1.600,1763430767344178.738	,1763430767344180.338	
0,triton_kernel_or,AI_VECTOR_CORE,14,715,1.320,1763430767344388.402	,1763430767344389.722	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,14,716,1.600,1763430767344548.818	,1763430767344550.418	
0,triton_kernel_or,AI_VECTOR_CORE,14,717,1.320,1763430767344756.282	,1763430767344757.602	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,14,718,1.656,1763430767344906.522	,1763430767344908.178	
0,triton_kernel_or,AI_VECTOR_CORE,14,719,1.376,1763430767345095.762	,1763430767345097.138	
0,N/A,PROFILING_DISABLE,20,21,0.016,1763430767358522.722	,1763430767358522.738	
