Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,30,4.224,1763432497814140.658	,1763432497814144.882	
0,triton_kernel_add,AI_VECTOR_CORE,37,31,1.760,1763432497814353.522	,1763432497814355.282	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,32,4.016,1763432497814525.882	,1763432497814529.898	
0,triton_kernel_add,AI_VECTOR_CORE,37,33,1.776,1763432497814724.322	,1763432497814726.098	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,34,4.256,1763432497814904.242	,1763432497814908.498	
0,triton_kernel_add,AI_VECTOR_CORE,37,35,1.840,1763432497815094.042	,1763432497815095.882	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,36,4.296,1763432497815262.922	,1763432497815267.218	
0,triton_kernel_add,AI_VECTOR_CORE,37,37,1.800,1763432497815454.282	,1763432497815456.082	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,38,4.360,1763432497815613.978	,1763432497815618.338	
0,triton_kernel_add,AI_VECTOR_CORE,37,39,1.824,1763432497815821.338	,1763432497815823.162	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,40,1.656,1763432497816004.802	,1763432497816006.458	
0,triton_kernel_add,AI_VECTOR_CORE,37,41,1.464,1763432497816180.298	,1763432497816181.762	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,42,2.416,1763432497816350.802	,1763432497816353.218	
0,triton_kernel_add,AI_VECTOR_CORE,37,43,1.840,1763432497816563.378	,1763432497816565.218	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,44,1.744,1763432497816728.058	,1763432497816729.802	
0,triton_kernel_add,AI_VECTOR_CORE,37,45,1.520,1763432497816923.098	,1763432497816924.618	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,46,1.664,1763432497817069.858	,1763432497817071.522	
0,triton_kernel_add,AI_VECTOR_CORE,37,47,1.480,1763432497817273.058	,1763432497817274.538	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,48,1.616,1763432497817433.202	,1763432497817434.818	
0,triton_kernel_add,AI_VECTOR_CORE,37,49,1.600,1763432497817628.378	,1763432497817629.978	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,50,1.664,1763432497817788.818	,1763432497817790.482	
0,triton_kernel_add,AI_VECTOR_CORE,37,51,1.480,1763432497817983.298	,1763432497817984.778	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,52,1.824,1763432497818141.138	,1763432497818142.962	
0,triton_kernel_add,AI_VECTOR_CORE,37,53,1.456,1763432497818340.562	,1763432497818342.018	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,54,1.720,1763432497818509.578	,1763432497818511.298	
0,triton_kernel_add,AI_VECTOR_CORE,37,55,1.544,1763432497818701.138	,1763432497818702.682	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,56,1.696,1763432497818850.842	,1763432497818852.538	
0,triton_kernel_add,AI_VECTOR_CORE,37,57,1.544,1763432497819038.778	,1763432497819040.322	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,58,1.656,1763432497819203.242	,1763432497819204.898	
0,triton_kernel_add,AI_VECTOR_CORE,37,59,1.424,1763432497819401.938	,1763432497819403.362	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,60,1.664,1763432497819553.978	,1763432497819555.642	
0,triton_kernel_add,AI_VECTOR_CORE,37,61,1.440,1763432497819741.402	,1763432497819742.842	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,62,1.624,1763432497819893.338	,1763432497819894.962	
0,triton_kernel_add,AI_VECTOR_CORE,37,63,1.416,1763432497820087.242	,1763432497820088.658	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,64,1.656,1763432497820248.242	,1763432497820249.898	
0,triton_kernel_add,AI_VECTOR_CORE,37,65,1.440,1763432497820458.682	,1763432497820460.122	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,66,1.680,1763432497820629.698	,1763432497820631.378	
0,triton_kernel_add,AI_VECTOR_CORE,37,67,1.440,1763432497820818.018	,1763432497820819.458	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,68,1.704,1763432497820976.138	,1763432497820977.842	
0,triton_kernel_add,AI_VECTOR_CORE,37,69,1.456,1763432497821170.442	,1763432497821171.898	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,70,1.576,1763432497821328.122	,1763432497821329.698	
0,triton_kernel_add,AI_VECTOR_CORE,37,71,1.400,1763432497821528.482	,1763432497821529.882	
