Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,120,1.920,1763432504506811.380	,1763432504506813.300	
0,triton_kernel_add,AI_VECTOR_CORE,37,121,1.480,1763432504507014.980	,1763432504507016.460	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,122,1.960,1763432504507189.720	,1763432504507191.680	
0,triton_kernel_add,AI_VECTOR_CORE,37,123,1.560,1763432504507383.180	,1763432504507384.740	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,124,2.040,1763432504507563.860	,1763432504507565.900	
0,triton_kernel_add,AI_VECTOR_CORE,37,125,1.560,1763432504507748.760	,1763432504507750.320	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,126,2.040,1763432504507903.720	,1763432504507905.760	
0,triton_kernel_add,AI_VECTOR_CORE,37,127,1.500,1763432504508096.660	,1763432504508098.160	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,128,2.040,1763432504508250.340	,1763432504508252.380	
0,triton_kernel_add,AI_VECTOR_CORE,37,129,1.500,1763432504508447.920	,1763432504508449.420	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,130,1.820,1763432504508602.620	,1763432504508604.440	
0,triton_kernel_add,AI_VECTOR_CORE,37,131,1.420,1763432504508792.560	,1763432504508793.980	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,132,2.080,1763432504508962.360	,1763432504508964.440	
0,triton_kernel_add,AI_VECTOR_CORE,37,133,1.560,1763432504509139.020	,1763432504509140.580	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,134,1.680,1763432504509290.500	,1763432504509292.180	
0,triton_kernel_add,AI_VECTOR_CORE,37,135,1.460,1763432504509473.780	,1763432504509475.240	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,136,1.720,1763432504509612.720	,1763432504509614.440	
0,triton_kernel_add,AI_VECTOR_CORE,37,137,1.500,1763432504509798.200	,1763432504509799.700	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,138,1.560,1763432504509935.660	,1763432504509937.220	
0,triton_kernel_add,AI_VECTOR_CORE,37,139,1.340,1763432504510278.480	,1763432504510279.820	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,140,1.520,1763432504510434.060	,1763432504510435.580	
0,triton_kernel_add,AI_VECTOR_CORE,37,141,1.320,1763432504510626.200	,1763432504510627.520	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,142,1.560,1763432504510775.000	,1763432504510776.560	
0,triton_kernel_add,AI_VECTOR_CORE,37,143,1.360,1763432504510962.780	,1763432504510964.140	
