Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,210,2.240,1763432511297534.302	,1763432511297536.542	
0,triton_kernel_add,AI_VECTOR_CORE,37,211,1.664,1763432511297860.198	,1763432511297861.862	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,212,2.240,1763432511298043.998	,1763432511298046.238	
0,triton_kernel_add,AI_VECTOR_CORE,37,213,1.680,1763432511298240.838	,1763432511298242.518	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,214,2.240,1763432511298403.942	,1763432511298406.182	
0,triton_kernel_add,AI_VECTOR_CORE,37,215,1.696,1763432511298609.502	,1763432511298611.198	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,216,2.320,1763432511298789.142	,1763432511298791.462	
0,triton_kernel_add,AI_VECTOR_CORE,37,217,1.736,1763432511298973.302	,1763432511298975.038	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,218,2.320,1763432511299128.662	,1763432511299130.982	
0,triton_kernel_add,AI_VECTOR_CORE,37,219,1.776,1763432511299326.022	,1763432511299327.798	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,220,1.736,1763432511299475.342	,1763432511299477.078	
0,triton_kernel_add,AI_VECTOR_CORE,37,221,1.464,1763432511299728.958	,1763432511299730.422	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,222,2.200,1763432511299859.022	,1763432511299861.222	
0,triton_kernel_add,AI_VECTOR_CORE,37,223,1.600,1763432511300106.478	,1763432511300108.078	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,224,1.784,1763432511300267.438	,1763432511300269.222	
0,triton_kernel_add,AI_VECTOR_CORE,37,225,1.520,1763432511300500.998	,1763432511300502.518	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,226,1.904,1763432511300670.278	,1763432511300672.182	
0,triton_kernel_add,AI_VECTOR_CORE,37,227,1.624,1763432511300854.758	,1763432511300856.382	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,228,1.904,1763432511301015.398	,1763432511301017.302	
0,triton_kernel_add,AI_VECTOR_CORE,37,229,1.536,1763432511301223.782	,1763432511301225.318	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,230,1.664,1763432511301387.358	,1763432511301389.022	
0,triton_kernel_add,AI_VECTOR_CORE,37,231,1.440,1763432511301630.222	,1763432511301631.662	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,232,1.720,1763432511301767.142	,1763432511301768.862	
0,triton_kernel_add,AI_VECTOR_CORE,37,233,1.456,1763432511301988.942	,1763432511301990.398	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,234,1.760,1763432511302145.022	,1763432511302146.782	
0,triton_kernel_add,AI_VECTOR_CORE,37,235,1.544,1763432511302340.838	,1763432511302342.382	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,236,1.720,1763432511302506.158	,1763432511302507.878	
0,triton_kernel_add,AI_VECTOR_CORE,37,237,1.480,1763432511302707.238	,1763432511302708.718	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,238,1.744,1763432511302860.638	,1763432511302862.382	
0,triton_kernel_add,AI_VECTOR_CORE,37,239,1.680,1763432511303080.462	,1763432511303082.142	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,240,1.920,1763432511303246.902	,1763432511303248.822	
0,triton_kernel_add,AI_VECTOR_CORE,37,241,1.520,1763432511303432.838	,1763432511303434.358	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,242,1.776,1763432511303595.582	,1763432511303597.358	
0,triton_kernel_add,AI_VECTOR_CORE,37,243,1.584,1763432511303774.758	,1763432511303776.342	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,244,1.776,1763432511303922.382	,1763432511303924.158	
0,triton_kernel_add,AI_VECTOR_CORE,37,245,1.600,1763432511304131.358	,1763432511304132.958	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,246,1.760,1763432511304288.982	,1763432511304290.742	
0,triton_kernel_add,AI_VECTOR_CORE,37,247,1.496,1763432511304655.262	,1763432511304656.758	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,248,1.744,1763432511304739.638	,1763432511304741.382	
0,triton_kernel_add,AI_VECTOR_CORE,37,249,1.480,1763432511304896.358	,1763432511304897.838	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,250,1.776,1763432511305060.822	,1763432511305062.598	
0,triton_kernel_add,AI_VECTOR_CORE,37,251,1.544,1763432511305252.638	,1763432511305254.182	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,252,1.784,1763432511305457.358	,1763432511305459.142	
0,triton_kernel_add,AI_VECTOR_CORE,37,253,1.536,1763432511305610.422	,1763432511305611.958	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,254,1.824,1763432511305797.398	,1763432511305799.222	
0,triton_kernel_add,AI_VECTOR_CORE,37,255,1.600,1763432511305971.598	,1763432511305973.198	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,256,1.880,1763432511306133.358	,1763432511306135.238	
0,triton_kernel_add,AI_VECTOR_CORE,37,257,1.640,1763432511306329.078	,1763432511306330.718	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,258,1.736,1763432511306489.182	,1763432511306490.918	
0,triton_kernel_add,AI_VECTOR_CORE,37,259,1.504,1763432511306688.238	,1763432511306689.742	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,260,1.704,1763432511306836.358	,1763432511306838.062	
0,triton_kernel_add,AI_VECTOR_CORE,37,261,1.464,1763432511307046.758	,1763432511307048.222	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,262,1.720,1763432511307207.438	,1763432511307209.158	
0,triton_kernel_add,AI_VECTOR_CORE,37,263,1.504,1763432511307438.158	,1763432511307439.662	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,264,1.736,1763432511307576.502	,1763432511307578.238	
0,triton_kernel_add,AI_VECTOR_CORE,37,265,1.496,1763432511307776.902	,1763432511307778.398	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,266,1.736,1763432511307931.222	,1763432511307932.958	
0,triton_kernel_add,AI_VECTOR_CORE,37,267,1.544,1763432511308129.398	,1763432511308130.942	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,268,1.800,1763432511308333.198	,1763432511308334.998	
0,triton_kernel_add,AI_VECTOR_CORE,37,269,1.544,1763432511308515.558	,1763432511308517.102	
0,N/A,PROFILING_DISABLE,32,11,0.016,1763432511324343.342	,1763432511324343.358	
