Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,300,37,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763432517989936.150	,2.700,0,2,0,NO,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.854,6673,0.432,0.233,0.679,0.367,0.247,0.133,0.14,0.076,0.106,0.000
0,4294967295,301,37,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763432517990153.890	,21.440,215.050000,1,0,YES,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.896,37613,0.008,0.0,20.413,0.977,0.178,0.009,0.156,0.007,0.238,0.000
0,4294967295,302,37,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763432517990317.310	,2.640,141.810000,2,0,NO,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.788,6438,0.432,0.242,0.792,0.443,0.244,0.137,0.141,0.079,0.108,0.000
0,4294967295,303,37,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763432517990513.410	,21.420,193.610000,1,0,YES,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.923,37661,0.008,0.0,20.432,0.977,0.184,0.009,0.151,0.007,0.238,0.000
0,4294967295,304,37,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763432517990666.750	,2.440,131.830000,2,0,NO,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.686,6068,0.432,0.256,0.715,0.424,0.241,0.143,0.133,0.079,0.12,0.000
0,4294967295,305,37,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763432517990864.030	,21.400,194.810000,1,0,YES,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.905,37629,0.008,0.0,20.409,0.976,0.197,0.009,0.153,0.007,0.238,0.000
0,4294967295,306,37,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763432517991017.070	,2.460,131.600000,2,0,NO,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.672,6019,0.432,0.259,0.662,0.396,0.24,0.143,0.13,0.078,0.105,0.000
0,4294967295,307,37,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763432517991210.690	,21.480,191.290000,1,0,YES,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.93,37674,0.008,0.0,20.438,0.976,0.178,0.009,0.153,0.007,0.238,0.000
0,4294967295,308,37,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763432517991376.650	,2.660,144.520000,2,0,NO,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.775,6389,0.432,0.244,0.767,0.432,0.251,0.142,0.146,0.082,0.117,0.000
0,4294967295,309,37,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763432517991560.390	,21.400,181.090000,1,0,YES,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.889,37600,0.008,0.0,20.392,0.976,0.177,0.008,0.16,0.008,0.238,0.000
0,4294967295,310,37,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763432517991705.690	,2.580,123.850000,2,0,NO,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.742,6270,0.432,0.248,0.734,0.421,0.251,0.144,0.141,0.081,0.108,0.000
0,4294967295,311,37,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763432517991899.970	,21.440,191.670000,1,0,YES,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.905,37629,0.008,0.0,20.424,0.977,0.178,0.009,0.147,0.007,0.238,0.000
0,4294967295,312,37,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763432517992045.170	,2.480,123.810000,2,0,NO,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.705,6137,0.432,0.254,0.714,0.419,0.247,0.145,0.134,0.078,0.12,0.000
0,4294967295,313,37,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763432517992245.390	,21.440,197.770000,1,0,YES,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.891,37604,0.008,0.0,20.396,0.976,0.179,0.009,0.146,0.007,0.238,0.000
0,4294967295,314,37,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763432517992412.550	,2.680,145.560000,2,0,NO,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.784,6424,0.432,0.242,0.761,0.427,0.254,0.142,0.135,0.076,0.111,0.000
0,4294967295,315,37,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763432517992610.330	,21.520,195.070000,1,0,YES,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.93,37674,0.008,0.0,20.435,0.976,0.171,0.008,0.154,0.007,0.238,0.000
0,4294967295,316,37,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763432517992749.690	,2.600,117.980000,2,0,NO,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.742,6270,0.432,0.248,0.728,0.418,0.256,0.147,0.147,0.085,0.117,0.000
0,4294967295,317,37,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763432517992935.330	,21.380,182.900000,1,0,YES,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.912,37642,0.008,0.0,20.412,0.976,0.185,0.009,0.16,0.008,0.238,0.000
0,4294967295,318,37,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763432517993079.190	,2.460,122.620000,2,0,NO,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.844,6637,0.432,0.234,0.829,0.449,0.263,0.143,0.149,0.081,0.113,0.000
0,4294967295,319,37,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763432517993269.390	,21.320,187.790000,1,0,YES,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.853,37535,0.008,0.0,20.391,0.978,0.163,0.008,0.155,0.007,0.238,0.000
0,4294967295,320,37,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763432517993413.770	,2.320,122.930000,2,0,NO,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.614,5811,0.432,0.268,0.619,0.384,0.258,0.16,0.14,0.087,0.113,0.000
0,4294967295,321,37,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763432517993613.430	,21.360,197.430000,1,0,YES,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.857,37542,0.008,0.0,20.412,0.979,0.164,0.008,0.152,0.007,0.238,0.000
0,4294967295,322,37,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763432517993767.150	,2.500,132.390000,2,0,NO,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.731,6231,0.432,0.25,0.723,0.418,0.246,0.142,0.136,0.079,0.115,0.000
0,4294967295,323,37,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763432517993941.770	,21.420,172.000000,1,0,YES,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.874,37573,0.008,0.0,20.421,0.978,0.167,0.008,0.156,0.007,0.238,0.000
0,4294967295,324,37,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763432517994090.270	,2.540,127.080000,2,0,NO,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.706,6143,0.432,0.253,0.706,0.414,0.251,0.147,0.143,0.084,0.129,0.000
0,4294967295,325,37,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763432517994281.250	,21.320,188.460000,1,0,YES,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.888,37598,0.008,0.0,20.423,0.978,0.171,0.008,0.156,0.007,0.238,0.000
0,4294967295,326,37,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763432517994435.350	,2.440,132.680000,2,0,NO,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.694,6100,0.432,0.255,0.703,0.415,0.241,0.142,0.137,0.081,0.105,0.000
0,4294967295,327,37,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763432517994621.350	,21.420,183.560000,1,0,YES,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.893,37608,0.008,0.0,20.42,0.977,0.173,0.008,0.154,0.007,0.238,0.000
0,4294967295,328,37,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763432517994775.770	,2.040,133.080000,2,0,NO,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.466,5278,0.432,0.295,0.637,0.435,0.247,0.168,0.144,0.098,0.0,0.000
0,4294967295,329,37,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763432517994971.550	,21.560,193.710000,1,0,YES,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.086,37955,0.008,0.0,20.437,0.969,0.179,0.009,0.154,0.007,0.238,0.000
0,4294967295,330,37,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763432517995133.230	,1.940,140.190000,2,0,NO,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.404,5053,0.432,0.308,0.591,0.421,0.238,0.169,0.139,0.099,0.0,0.000
0,4294967295,331,37,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763432517995320.730	,21.440,185.560000,1,0,YES,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.92,37656,0.008,0.0,20.428,0.976,0.194,0.009,0.152,0.007,0.238,0.000
0,4294967295,332,37,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763432517995461.850	,2.000,119.560000,2,0,NO,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.428,5141,0.432,0.303,0.628,0.44,0.23,0.161,0.129,0.09,0.0,0.000
0,4294967295,333,37,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763432517995669.210	,21.600,205.500000,1,0,YES,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.059,37907,0.008,0.0,20.416,0.969,0.176,0.008,0.151,0.007,0.238,0.000
0,4294967295,334,37,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763432517995798.510	,2.080,107.650000,2,0,NO,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49,5363,0.432,0.29,0.657,0.441,0.25,0.168,0.136,0.091,0.0,0.000
0,4294967295,335,37,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763432517995976.890	,21.420,176.420000,1,0,YES,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.917,37651,0.008,0.0,20.421,0.976,0.178,0.009,0.158,0.008,0.238,0.000
0,4294967295,336,37,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763432517996141.370	,2.020,142.830000,2,0,NO,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.468,5283,0.432,0.295,0.64,0.436,0.246,0.168,0.144,0.098,0.0,0.000
0,4294967295,337,37,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763432517996322.550	,21.580,179.230000,1,0,YES,"""1024;1024""",INT64;INT64,ND;ND,"""1024""",INT64,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.078,37940,0.008,0.0,20.417,0.969,0.174,0.008,0.154,0.007,0.238,0.000
