Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,300,2.700,1763432517989936.150	,1763432517989938.850	
0,triton_kernel_add,AI_VECTOR_CORE,37,301,21.440,1763432517990153.890	,1763432517990175.330	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,302,2.640,1763432517990317.310	,1763432517990319.950	
0,triton_kernel_add,AI_VECTOR_CORE,37,303,21.420,1763432517990513.410	,1763432517990534.830	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,304,2.440,1763432517990666.750	,1763432517990669.190	
0,triton_kernel_add,AI_VECTOR_CORE,37,305,21.400,1763432517990864.030	,1763432517990885.430	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,306,2.460,1763432517991017.070	,1763432517991019.530	
0,triton_kernel_add,AI_VECTOR_CORE,37,307,21.480,1763432517991210.690	,1763432517991232.170	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,308,2.660,1763432517991376.650	,1763432517991379.310	
0,triton_kernel_add,AI_VECTOR_CORE,37,309,21.400,1763432517991560.390	,1763432517991581.790	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,310,2.580,1763432517991705.690	,1763432517991708.270	
0,triton_kernel_add,AI_VECTOR_CORE,37,311,21.440,1763432517991899.970	,1763432517991921.410	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,312,2.480,1763432517992045.170	,1763432517992047.650	
0,triton_kernel_add,AI_VECTOR_CORE,37,313,21.440,1763432517992245.390	,1763432517992266.830	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,314,2.680,1763432517992412.550	,1763432517992415.230	
0,triton_kernel_add,AI_VECTOR_CORE,37,315,21.520,1763432517992610.330	,1763432517992631.850	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,316,2.600,1763432517992749.690	,1763432517992752.290	
0,triton_kernel_add,AI_VECTOR_CORE,37,317,21.380,1763432517992935.330	,1763432517992956.710	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,318,2.460,1763432517993079.190	,1763432517993081.650	
0,triton_kernel_add,AI_VECTOR_CORE,37,319,21.320,1763432517993269.390	,1763432517993290.710	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,320,2.320,1763432517993413.770	,1763432517993416.090	
0,triton_kernel_add,AI_VECTOR_CORE,37,321,21.360,1763432517993613.430	,1763432517993634.790	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,322,2.500,1763432517993767.150	,1763432517993769.650	
0,triton_kernel_add,AI_VECTOR_CORE,37,323,21.420,1763432517993941.770	,1763432517993963.190	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,324,2.540,1763432517994090.270	,1763432517994092.810	
0,triton_kernel_add,AI_VECTOR_CORE,37,325,21.320,1763432517994281.250	,1763432517994302.570	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,326,2.440,1763432517994435.350	,1763432517994437.790	
0,triton_kernel_add,AI_VECTOR_CORE,37,327,21.420,1763432517994621.350	,1763432517994642.770	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,328,2.040,1763432517994775.770	,1763432517994777.810	
0,triton_kernel_add,AI_VECTOR_CORE,37,329,21.560,1763432517994971.550	,1763432517994993.110	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,330,1.940,1763432517995133.230	,1763432517995135.170	
0,triton_kernel_add,AI_VECTOR_CORE,37,331,21.440,1763432517995320.730	,1763432517995342.170	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,332,2.000,1763432517995461.850	,1763432517995463.850	
0,triton_kernel_add,AI_VECTOR_CORE,37,333,21.600,1763432517995669.210	,1763432517995690.810	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,334,2.080,1763432517995798.510	,1763432517995800.590	
0,triton_kernel_add,AI_VECTOR_CORE,37,335,21.420,1763432517995976.890	,1763432517995998.310	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,336,2.020,1763432517996141.370	,1763432517996143.390	
0,triton_kernel_add,AI_VECTOR_CORE,37,337,21.580,1763432517996322.550	,1763432517996344.130	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,338,2.160,1763432517996495.170	,1763432517996497.330	
0,triton_kernel_add,AI_VECTOR_CORE,37,339,21.440,1763432517996681.630	,1763432517996703.070	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,340,2.100,1763432517996837.710	,1763432517996839.810	
0,triton_kernel_add,AI_VECTOR_CORE,37,341,21.640,1763432517997026.470	,1763432517997048.110	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,342,2.120,1763432517997172.090	,1763432517997174.210	
0,triton_kernel_add,AI_VECTOR_CORE,37,343,21.380,1763432517997363.390	,1763432517997384.770	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,37,344,1.960,1763432517997506.470	,1763432517997508.430	
