Step Id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
13,4294967295,390,37,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763432524665348.742	,2.000,0,1,0,NO,"""1024;1024""",INT32;INT32,ND;ND,"""1024""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.604,1088,0.032,0.053,0.167,0.277,0.154,0.255,0.086,0.142,0.158,0.000
13,4294967295,391,37,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763432524665554.958	,1.560,204.250000,1,0,YES,"""1024;1024""",INT32;INT32,ND;ND,"""1024""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.396,712,0.039,0.098,0.118,0.299,0.096,0.243,0.084,0.213,0.263,0.000
14,4294967295,392,37,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763432524665713.262	,2.016,156.690000,1,0,NO,"""1024;1024""",INT32;INT32,ND;ND,"""1024""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1080,0.032,0.054,0.168,0.28,0.153,0.255,0.087,0.144,0.158,0.000
14,4294967295,393,37,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763432524665905.558	,1.544,190.234000,1,0,YES,"""1024;1024""",INT32;INT32,ND;ND,"""1024""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.409,737,0.039,0.095,0.124,0.304,0.092,0.224,0.084,0.206,0.263,0.000
15,4294967295,394,37,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763432524666067.278	,2.000,160.206000,1,0,NO,"""1024;1024""",INT32;INT32,ND;ND,"""1024""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.618,1113,0.032,0.052,0.165,0.267,0.149,0.242,0.086,0.138,0.158,0.000
15,4294967295,395,37,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763432524666266.062	,1.520,196.750000,1,0,YES,"""1024;1024""",INT32;INT32,ND;ND,"""1024""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.402,723,0.039,0.097,0.117,0.292,0.094,0.234,0.084,0.21,0.263,0.000
16,4294967295,396,37,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763432524666410.822	,2.040,143.230000,1,0,NO,"""1024;1024""",INT32;INT32,ND;ND,"""1024""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.614,1106,0.032,0.052,0.167,0.272,0.148,0.241,0.086,0.139,0.158,0.000
16,4294967295,397,37,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763432524666618.918	,1.560,206.210000,1,0,YES,"""1024;1024""",INT32;INT32,ND;ND,"""1024""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.403,725,0.039,0.097,0.119,0.297,0.093,0.232,0.084,0.21,0.263,0.000
17,4294967295,398,37,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763432524666784.502	,1.976,163.940000,1,0,NO,"""1024;1024""",INT32;INT32,ND;ND,"""1024""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.593,1067,0.032,0.054,0.162,0.274,0.148,0.249,0.086,0.145,0.158,0.000
17,4294967295,399,37,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763432524666982.982	,1.560,196.524000,1,0,YES,"""1024;1024""",INT32;INT32,ND;ND,"""1024""",INT32,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.393,707,0.039,0.099,0.111,0.281,0.093,0.236,0.086,0.218,0.263,0.000
