Step,Computing,Communication(Not Overlapped),Overlapped,Communication,Free,Stage,Bubble,Communication(Not Overlapped and Exclude Receive),Preparing
13,3.56,0,0,0,360.96000000000004,364.5,0,0,104.25
14,3.56,0,0,0,350.456,354.0,0,0,68.75
15,3.52,0,0,0,340.024,343.5,0,0,70.5
16,3.6,0,0,0,370.08000000000004,373.75,0,0,54.25
17,3.536,0,0,0,345.88,349.5,0,0,73.75
18,3.24,0,0,0,352.92,356.25,0,0,65.25
19,3.624,0,0,0,357.72,361.25,0,0,60.75
20,3.16,0,0,0,336.24,339.25,0,0,73.75
21,3.136,0,0,0,366.6,369.75,0,0,50.75
22,3.144,0,0,0,356.24,359.5,0,0,73.0
23,3.16,0,0,0,347.296,350.5,0,0,66.0
24,3.2800000000000002,0,0,0,343.144,346.25,0,0,59.25
25,3.12,0,0,0,347.20000000000005,350.25,0,0,64.75
26,3.056,0,0,0,333.98400000000004,337.0,0,0,67.0
27,3.04,0,0,0,446.96,450.0,0,0,61.0
28,3.112,0,0,0,349.048,352.0,0,0,74.5
29,3.12,0,0,0,345.736,349.0,0,0,60.25
30,3.128,0,0,0,352.776,356.0,0,0,68.5
31,3.072,0,0,0,352.624,355.75,0,0,60.75
32,3.0,0,0,0,366.96000000000004,370.0,0,0,50.0
33,3.064,0,0,0,327.776,330.75,0,0,66.5
34,3.136,0,0,0,341.304,344.5,0,0,50.75
35,3.104,0,0,0,352.32,355.5,0,0,55.25
36,3.12,0,0,0,340.736,343.75,0,0,63.75
37,3.184,0,0,0,349.01599999999996,352.25,0,0,60.75
38,3.176,0,0,0,341.86400000000003,345.0,0,0,64.75
39,3.128,0,0,0,357.03200000000004,360.25,0,0,50.25
40,3.04,0,0,0,325.2,328.25,0,0,71.5
41,3.104,0,0,0,358.336,361.5,0,0,48.25
42,3.3040000000000003,0,0,0,198.84,202.0,0,0,66.75
