Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::add,"1024;
1024;
",,68.2,119.23,0,2.56,0,0
empty_tensor,,,32.87,32.87,0,0,0,0
aclnnAdd,,,18.16,18.16,2.56,2.56,0,0
aten::empty_like,"1024;
;
;
;
;
",,11.49,20.41,0,0,0,0
empty_tensor,,,8.92,8.92,0,0,0,0
triton_kernel_add,,,19.5,19.5,2.34,2.34,0,0
aten::add,"1024;
1024;
",,25.35,53.31,0,2.48,0,0
empty_tensor,,,11.5,11.5,0,0,0,0
aclnnAdd,,,16.46,16.46,2.48,2.48,0,0
aten::empty_like,"1024;
;
;
;
;
",,8.66,15.08,0,0,0,0
empty_tensor,,,6.42,6.42,0,0,0,0
triton_kernel_add,,,18.98,18.98,2.34,2.34,0,0
aten::add,"1024;
1024;
",,24.65,49.32,0,2.58,0,0
empty_tensor,,,10.77,10.77,0,0,0,0
aclnnAdd,,,13.9,13.9,2.58,2.58,0,0
aten::empty_like,"1024;
;
;
;
;
",,8.0,15.22,0,0,0,0
empty_tensor,,,7.22,7.22,0,0,0,0
triton_kernel_add,,,22.3,22.3,2.38,2.38,0,0
aten::add,"1024;
1024;
",,23.48,59.66,0,2.6,0,0
empty_tensor,,,10.98,10.98,0,0,0,0
aclnnAdd,,,25.2,25.2,2.6,2.6,0,0
aten::empty_like,"1024;
;
;
;
;
",,12.52,20.57,0,0,0,0
empty_tensor,,,8.05,8.05,0,0,0,0
triton_kernel_add,,,21.59,21.59,2.42,2.42,0,0
aten::add,"1024;
1024;
",,23.85,65.49,0,2.56,0,0
empty_tensor,,,11.0,11.0,0,0,0,0
aclnnAdd,,,30.64,30.64,2.56,2.56,0,0
aten::empty_like,"1024;
;
;
;
;
",,10.76,18.77,0,0,0,0
empty_tensor,,,8.01,8.01,0,0,0,0
triton_kernel_add,,,15.59,15.59,2.44,2.44,0,0
aten::add,"1024;
1024;
",,23.98,66.49,0,2.64,0,0
empty_tensor,,,10.76,10.76,0,0,0,0
aclnnAdd,,,31.75,31.75,2.64,2.64,0,0
aten::empty_like,"1024;
;
;
;
;
",,12.12,20.51,0,0,0,0
empty_tensor,,,8.39,8.39,0,0,0,0
triton_kernel_add,,,15.66,15.66,2.34,2.34,0,0
aten::add,"1024;
1024;
",,25.83,83.46,0,2.56,0,0
empty_tensor,,,45.56,45.56,0,0,0,0
aclnnAdd,,,12.07,12.07,2.56,2.56,0,0
aten::empty_like,"1024;
;
;
;
;
",,14.24,22.03,0,0,0,0
empty_tensor,,,7.79,7.79,0,0,0,0
triton_kernel_add,,,17.69,17.69,2.32,2.32,0,0
aten::add,"1024;
1024;
",,24.4,69.57,0,2.0,0,0
empty_tensor,,,34.35,34.35,0,0,0,0
aclnnAdd,,,10.82,10.82,2.0,2.0,0,0
aten::empty_like,"1024;
;
;
;
;
",,9.43,15.75,0,0,0,0
empty_tensor,,,6.32,6.32,0,0,0,0
triton_kernel_add,,,25.89,25.89,2.22,2.22,0,0
aten::add,"1024;
1024;
",,48.35,70.38,0,2.04,0,0
empty_tensor,,,11.13,11.13,0,0,0,0
aclnnAdd,,,10.9,10.9,2.04,2.04,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.52,13.19,0,0,0,0
empty_tensor,,,6.67,6.67,0,0,0,0
triton_kernel_add,,,16.08,16.08,2.26,2.26,0,0
aten::add,"1024;
1024;
",,23.75,45.89,0,2.0,0,0
empty_tensor,,,10.4,10.4,0,0,0,0
aclnnAdd,,,11.74,11.74,2.0,2.0,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.41,12.53,0,0,0,0
empty_tensor,,,6.12,6.12,0,0,0,0
triton_kernel_add,,,39.58,39.58,2.2,2.2,0,0
aten::add,"1024;
1024;
",,25.11,46.32,0,2.04,0,0
empty_tensor,,,10.36,10.36,0,0,0,0
aclnnAdd,,,10.85,10.85,2.04,2.04,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.57,13.19,0,0,0,0
empty_tensor,,,6.62,6.62,0,0,0,0
triton_kernel_add,,,41.53,41.53,2.26,2.26,0,0
aten::add,"1024;
1024;
",,24.29,51.39,0,2.04,0,0
empty_tensor,,,10.8,10.8,0,0,0,0
aclnnAdd,,,16.3,16.3,2.04,2.04,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.73,13.97,0,0,0,0
empty_tensor,,,7.24,7.24,0,0,0,0
triton_kernel_add,,,44.74,44.74,2.16,2.16,0,0
aten::add,"1024;
1024;
",,23.49,45.82,0,1.98,0,0
empty_tensor,,,10.92,10.92,0,0,0,0
aclnnAdd,,,11.41,11.41,1.98,1.98,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.72,36.4,0,0,0,0
empty_tensor,,,29.68,29.68,0,0,0,0
triton_kernel_add,,,15.34,15.34,2.16,2.16,0,0
aten::add,"1024;
1024;
",,23.49,45.59,0,1.98,0,0
empty_tensor,,,10.72,10.72,0,0,0,0
aclnnAdd,,,11.38,11.38,1.98,1.98,0,0
aten::empty_like,"1024;
;
;
;
;
",,29.79,38.5,0,0,0,0
empty_tensor,,,8.71,8.71,0,0,0,0
triton_kernel_add,,,15.32,15.32,2.28,2.28,0,0
aten::add,"1024;
1024;
",,24.01,46.27,0,2.08,0,0
empty_tensor,,,11.02,11.02,0,0,0,0
aclnnAdd,,,11.24,11.24,2.08,2.08,0,0
aten::empty_like,"1024;
;
;
;
;
",,29.57,38.03,0,0,0,0
empty_tensor,,,8.46,8.46,0,0,0,0
triton_kernel_add,,,21.94,21.94,2.2,2.2,0,0
aten::add,"1024;
1024;
",,24.26,69.47,0,2.06,0,0
empty_tensor,,,10.96,10.96,0,0,0,0
aclnnAdd,,,34.25,34.25,2.06,2.06,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.07,15.53,0,0,0,0
empty_tensor,,,8.46,8.46,0,0,0,0
triton_kernel_add,,,14.95,14.95,2.22,2.22,0,0
aten::add,"1024;
1024;
",,23.76,68.91,0,2.04,0,0
empty_tensor,,,11.36,11.36,0,0,0,0
aclnnAdd,,,33.79,33.79,2.04,2.04,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.14,15.01,0,0,0,0
empty_tensor,,,7.87,7.87,0,0,0,0
triton_kernel_add,,,14.92,14.92,2.24,2.24,0,0
aten::add,"1024;
1024;
",,47.18,68.84,0,2.04,0,0
empty_tensor,,,10.59,10.59,0,0,0,0
aclnnAdd,,,11.07,11.07,2.04,2.04,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.44,12.71,0,0,0,0
empty_tensor,,,6.27,6.27,0,0,0,0
triton_kernel_add,,,15.59,15.59,2.28,2.28,0,0
aten::add,"1024;
1024;
",,23.45,44.55,0,2.08,0,0
empty_tensor,,,10.4,10.4,0,0,0,0
aclnnAdd,,,10.7,10.7,2.08,2.08,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.41,13.81,0,0,0,0
empty_tensor,,,7.4,7.4,0,0,0,0
triton_kernel_add,,,28.21,28.21,2.46,2.46,0,0
aten::add,"1024;
1024;
",,23.52,46.14,0,2.14,0,0
empty_tensor,,,10.58,10.58,0,0,0,0
aclnnAdd,,,12.04,12.04,2.14,2.14,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.44,13.24,0,0,0,0
empty_tensor,,,6.8,6.8,0,0,0,0
triton_kernel_add,,,20.94,20.94,2.24,2.24,0,0
aten::add,"1024;
1024;
",,22.96,45.37,0,2.06,0,0
empty_tensor,,,10.64,10.64,0,0,0,0
aclnnAdd,,,11.77,11.77,2.06,2.06,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.58,13.31,0,0,0,0
empty_tensor,,,6.73,6.73,0,0,0,0
triton_kernel_add,,,14.96,14.96,2.26,2.26,0,0
aten::add,"1024;
1024;
",,23.2,45.31,0,2.06,0,0
empty_tensor,,,10.65,10.65,0,0,0,0
aclnnAdd,,,11.46,11.46,2.06,2.06,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.58,18.08,0,0,0,0
empty_tensor,,,11.5,11.5,0,0,0,0
triton_kernel_add,,,15.66,15.66,2.26,2.26,0,0
aten::add,"1024;
1024;
",,22.63,44.78,0,2.12,0,0
empty_tensor,,,10.05,10.05,0,0,0,0
aclnnAdd,,,12.1,12.1,2.12,2.12,0,0
aten::empty_like,"1024;
;
;
;
;
",,12.31,20.4,0,0,0,0
empty_tensor,,,8.09,8.09,0,0,0,0
triton_kernel_add,,,26.7,26.7,2.3,2.3,0,0
aten::add,"1024;
1024;
",,23.25,50.38,0,2.1,0,0
empty_tensor,,,10.18,10.18,0,0,0,0
aclnnAdd,,,16.95,16.95,2.1,2.1,0,0
aten::empty_like,"1024;
;
;
;
;
",,7.04,14.13,0,0,0,0
empty_tensor,,,7.09,7.09,0,0,0,0
triton_kernel_add,,,15.61,15.61,2.32,2.32,0,0
aten::add,"1024;
1024;
",,22.98,50.31,0,2.16,0,0
empty_tensor,,,16.27,16.27,0,0,0,0
aclnnAdd,,,11.06,11.06,2.16,2.16,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.43,13.28,0,0,0,0
empty_tensor,,,6.85,6.85,0,0,0,0
triton_kernel_add,,,15.49,15.49,2.38,2.38,0,0
aten::add,"1024;
1024;
",,28.68,50.64,0,2.14,0,0
empty_tensor,,,10.7,10.7,0,0,0,0
aclnnAdd,,,11.26,11.26,2.14,2.14,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.81,13.97,0,0,0,0
empty_tensor,,,7.16,7.16,0,0,0,0
triton_kernel_add,,,16.43,16.43,2.24,2.24,0,0
aten::add,"1024;
1024;
",,23.98,45.29,0,2.02,0,0
empty_tensor,,,10.61,10.61,0,0,0,0
aclnnAdd,,,10.7,10.7,2.02,2.02,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.62,13.42,0,0,0,0
empty_tensor,,,6.8,6.8,0,0,0,0
triton_kernel_add,,,31.28,31.28,2.2,2.2,0,0
aten::add,"1024;
1024;
",,23.7,45.86,0,2.1,0,0
empty_tensor,,,10.98,10.98,0,0,0,0
aclnnAdd,,,11.18,11.18,2.1,2.1,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.42,13.1,0,0,0,0
empty_tensor,,,6.68,6.68,0,0,0,0
triton_kernel_add,,,20.39,20.39,2.2,2.2,0,0
aten::add,"1024;
1024;
",,23.08,44.49,0,1.98,0,0
empty_tensor,,,10.22,10.22,0,0,0,0
aclnnAdd,,,11.19,11.19,1.98,1.98,0,0
aten::empty_like,"1024;
;
;
;
;
",,6.66,17.93,0,0,0,0
empty_tensor,,,11.27,11.27,0,0,0,0
triton_kernel_add,,,15.32,15.32,2.2,2.2,0,0
aten::add,"1024;
1024;
",,23.88,46.36,0,2.04,0,0
empty_tensor,,,10.65,10.65,0,0,0,0
aclnnAdd,,,11.83,11.83,2.04,2.04,0,0
aten::empty_like,"1024;
;
;
;
;
",,11.91,18.57,0,0,0,0
empty_tensor,,,6.66,6.66,0,0,0,0
triton_kernel_add,,,15.56,15.56,2.24,2.24,0,0
