Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,37,660,2.220,1763432545206112.330	,1763432545206114.550	
0,triton_kernel_or,AI_VECTOR_CORE,37,661,1.580,1763432545206322.990	,1763432545206324.570	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,37,662,2.100,1763432545206489.630	,1763432545206491.730	
0,triton_kernel_or,AI_VECTOR_CORE,37,663,1.420,1763432545206684.270	,1763432545206685.690	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,37,664,2.020,1763432545206840.030	,1763432545206842.050	
0,triton_kernel_or,AI_VECTOR_CORE,37,665,1.420,1763432545207033.090	,1763432545207034.510	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,37,666,2.100,1763432545207205.270	,1763432545207207.370	
0,triton_kernel_or,AI_VECTOR_CORE,37,667,1.460,1763432545207390.150	,1763432545207391.610	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,37,668,2.140,1763432545207539.370	,1763432545207541.510	
0,triton_kernel_or,AI_VECTOR_CORE,37,669,1.480,1763432545207741.290	,1763432545207742.770	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,37,670,2.080,1763432545207916.190	,1763432545207918.270	
0,triton_kernel_or,AI_VECTOR_CORE,37,671,1.520,1763432545208098.370	,1763432545208099.890	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,37,672,2.120,1763432545208250.370	,1763432545208252.490	
0,triton_kernel_or,AI_VECTOR_CORE,37,673,1.560,1763432545208451.450	,1763432545208453.010	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,37,674,1.600,1763432545208616.730	,1763432545208618.330	
0,triton_kernel_or,AI_VECTOR_CORE,37,675,1.300,1763432545208816.290	,1763432545208817.590	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,37,676,1.620,1763432545208968.430	,1763432545208970.050	
0,triton_kernel_or,AI_VECTOR_CORE,37,677,1.340,1763432545209162.270	,1763432545209163.610	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,37,678,1.700,1763432545209324.950	,1763432545209326.650	
0,triton_kernel_or,AI_VECTOR_CORE,37,679,1.380,1763432545209520.230	,1763432545209521.610	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,37,680,1.660,1763432545209691.490	,1763432545209693.150	
0,triton_kernel_or,AI_VECTOR_CORE,37,681,1.320,1763432545209875.150	,1763432545209876.470	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,37,682,1.620,1763432545210031.470	,1763432545210033.090	
0,triton_kernel_or,AI_VECTOR_CORE,37,683,1.340,1763432545210229.950	,1763432545210231.290	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,37,684,1.640,1763432545210397.710	,1763432545210399.350	
0,triton_kernel_or,AI_VECTOR_CORE,37,685,1.340,1763432545210590.090	,1763432545210591.430	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,37,686,1.740,1763432545210739.750	,1763432545210741.490	
0,triton_kernel_or,AI_VECTOR_CORE,37,687,1.400,1763432545210933.010	,1763432545210934.410	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,37,688,1.760,1763432545211077.990	,1763432545211079.750	
0,triton_kernel_or,AI_VECTOR_CORE,37,689,1.440,1763432545211274.810	,1763432545211276.250	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,37,690,1.680,1763432545211433.410	,1763432545211435.090	
0,triton_kernel_or,AI_VECTOR_CORE,37,691,1.340,1763432545211627.350	,1763432545211628.690	
