Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,30,4.160,1763460474948553.270	,1763460474948557.430	
0,triton_kernel_add,AI_VECTOR_CORE,51,31,1.920,1763460474948818.550	,1763460474948820.470	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,32,4.380,1763460474948998.530	,1763460474949002.910	
0,triton_kernel_add,AI_VECTOR_CORE,51,33,1.820,1763460474949216.650	,1763460474949218.470	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,34,4.340,1763460474949389.670	,1763460474949394.010	
0,triton_kernel_add,AI_VECTOR_CORE,51,35,1.840,1763460474949591.830	,1763460474949593.670	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,36,4.300,1763460474949758.210	,1763460474949762.510	
0,triton_kernel_add,AI_VECTOR_CORE,51,37,1.860,1763460474949968.350	,1763460474949970.210	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,38,4.220,1763460474950123.590	,1763460474950127.810	
0,triton_kernel_add,AI_VECTOR_CORE,51,39,1.860,1763460474950320.110	,1763460474950321.970	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,40,1.740,1763460474950498.290	,1763460474950500.030	
0,triton_kernel_add,AI_VECTOR_CORE,51,41,1.520,1763460474950688.570	,1763460474950690.090	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,42,2.500,1763460474950863.030	,1763460474950865.530	
0,triton_kernel_add,AI_VECTOR_CORE,51,43,1.900,1763460474951062.410	,1763460474951064.310	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,44,1.660,1763460474951215.550	,1763460474951217.210	
0,triton_kernel_add,AI_VECTOR_CORE,51,45,1.460,1763460474951412.270	,1763460474951413.730	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,46,1.760,1763460474951580.710	,1763460474951582.470	
0,triton_kernel_add,AI_VECTOR_CORE,51,47,1.440,1763460474951784.590	,1763460474951786.030	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,48,1.640,1763460474951935.710	,1763460474951937.350	
0,triton_kernel_add,AI_VECTOR_CORE,51,49,1.440,1763460474952163.690	,1763460474952165.130	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,50,1.660,1763460474952311.150	,1763460474952312.810	
0,triton_kernel_add,AI_VECTOR_CORE,51,51,1.420,1763460474952537.110	,1763460474952538.530	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,52,1.660,1763460474952707.270	,1763460474952708.930	
0,triton_kernel_add,AI_VECTOR_CORE,51,53,1.480,1763460474952961.730	,1763460474952963.210	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,54,1.700,1763460474953141.410	,1763460474953143.110	
0,triton_kernel_add,AI_VECTOR_CORE,51,55,1.480,1763460474953328.350	,1763460474953329.830	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,56,1.640,1763460474953483.690	,1763460474953485.330	
0,triton_kernel_add,AI_VECTOR_CORE,51,57,1.440,1763460474953682.970	,1763460474953684.410	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,58,1.620,1763460474953870.570	,1763460474953872.190	
0,triton_kernel_add,AI_VECTOR_CORE,51,59,1.400,1763460474954076.870	,1763460474954078.270	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,60,1.700,1763460474954239.550	,1763460474954241.250	
0,triton_kernel_add,AI_VECTOR_CORE,51,61,1.520,1763460474954436.210	,1763460474954437.730	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,62,1.660,1763460474954599.410	,1763460474954601.070	
0,triton_kernel_add,AI_VECTOR_CORE,51,63,1.580,1763460474954803.490	,1763460474954805.070	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,64,1.660,1763460474954972.990	,1763460474954974.650	
0,triton_kernel_add,AI_VECTOR_CORE,51,65,1.460,1763460474955172.230	,1763460474955173.690	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,66,1.680,1763460474955340.830	,1763460474955342.510	
0,triton_kernel_add,AI_VECTOR_CORE,51,67,1.460,1763460474955531.790	,1763460474955533.250	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,68,1.740,1763460474955701.570	,1763460474955703.310	
0,triton_kernel_add,AI_VECTOR_CORE,51,69,1.520,1763460474955886.770	,1763460474955888.290	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,70,1.760,1763460474956070.670	,1763460474956072.430	
0,triton_kernel_add,AI_VECTOR_CORE,51,71,1.520,1763460474956267.270	,1763460474956268.790	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,72,1.680,1763460474956458.290	,1763460474956459.970	
0,triton_kernel_add,AI_VECTOR_CORE,51,73,1.500,1763460474956660.370	,1763460474956661.870	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,74,1.660,1763460474956842.210	,1763460474956843.870	
0,triton_kernel_add,AI_VECTOR_CORE,51,75,1.480,1763460474957052.370	,1763460474957053.850	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,76,1.720,1763460474957225.730	,1763460474957227.450	
0,triton_kernel_add,AI_VECTOR_CORE,51,77,1.520,1763460474957410.870	,1763460474957412.390	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,78,1.700,1763460474957595.170	,1763460474957596.870	
0,triton_kernel_add,AI_VECTOR_CORE,51,79,1.500,1763460474957797.310	,1763460474957798.810	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,80,1.720,1763460474957964.010	,1763460474957965.730	
0,triton_kernel_add,AI_VECTOR_CORE,51,81,1.540,1763460474958166.630	,1763460474958168.170	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,82,1.900,1763460474958365.150	,1763460474958367.050	
0,triton_kernel_add,AI_VECTOR_CORE,51,83,1.540,1763460474958553.310	,1763460474958554.850	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,84,1.640,1763460474958736.150	,1763460474958737.790	
0,triton_kernel_add,AI_VECTOR_CORE,51,85,1.420,1763460474958927.910	,1763460474958929.330	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,86,1.640,1763460474959089.050	,1763460474959090.690	
0,triton_kernel_add,AI_VECTOR_CORE,51,87,1.420,1763460474959282.330	,1763460474959283.750	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,88,1.640,1763460474959441.370	,1763460474959443.010	
0,triton_kernel_add,AI_VECTOR_CORE,51,89,1.420,1763460474959637.970	,1763460474959639.390	
0,N/A,PROFILING_DISABLE,40,7,0.000,1763460474973817.210	,1763460474973817.210	
