Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,120,51,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763460481738445.490	,2.000,0,1,0,NO,"""1024;1024""",FLOAT16;FLOAT16,ND;ND,"""1024""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.574,1033,0.027,0.047,0.158,0.275,0.147,0.256,0.078,0.136,0.212,0.000
0,4294967295,121,51,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763460481738673.090	,1.580,225.500000,1,0,YES,"""1024;1024""",FLOAT16;FLOAT16,ND;ND,"""1024""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.388,698,0.031,0.08,0.115,0.297,0.083,0.213,0.087,0.225,0.263,0.000
0,4294967295,122,51,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763460481738853.090	,2.200,178.420000,1,0,NO,"""1024;1024""",FLOAT16;FLOAT16,ND;ND,"""1024""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.661,1190,0.027,0.041,0.167,0.253,0.146,0.22,0.078,0.118,0.212,0.000
0,4294967295,123,51,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763460481739072.010	,1.620,216.800000,1,0,YES,"""1024;1024""",FLOAT16;FLOAT16,ND;ND,"""1024""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.404,727,0.031,0.077,0.125,0.309,0.082,0.202,0.089,0.221,0.263,0.000
0,4294967295,124,51,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763460481739239.810	,2.020,166.130000,1,0,NO,"""1024;1024""",FLOAT16;FLOAT16,ND;ND,"""1024""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.631,1136,0.027,0.043,0.173,0.274,0.148,0.235,0.084,0.134,0.196,0.000
0,4294967295,125,51,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763460481739461.850	,1.460,219.980000,1,0,YES,"""1024;1024""",FLOAT16;FLOAT16,ND;ND,"""1024""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.378,681,0.031,0.082,0.115,0.304,0.084,0.223,0.086,0.226,0.263,0.000
0,4294967295,126,51,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763460481739639.210	,2.000,176.040000,1,0,NO,"""1024;1024""",FLOAT16;FLOAT16,ND;ND,"""1024""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.607,1092,0.027,0.045,0.169,0.278,0.142,0.234,0.079,0.13,0.196,0.000
0,4294967295,127,51,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763460481739875.730	,1.400,234.500000,1,0,YES,"""1024;1024""",FLOAT16;FLOAT16,ND;ND,"""1024""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349,629,0.031,0.089,0.113,0.323,0.078,0.224,0.075,0.215,0.263,0.000
0,4294967295,128,51,aclnnAdd_AddAiCore_Add,Add,dynamic,AI_VECTOR_CORE,1763460481740061.710	,1.900,184.600000,1,0,NO,"""1024;1024""",FLOAT16;FLOAT16,ND;ND,"""1024""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,1008,0.027,0.049,0.154,0.275,0.139,0.249,0.077,0.137,0.212,0.000
0,4294967295,129,51,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763460481740479.070	,1.420,415.350000,1,0,YES,"""1024;1024""",FLOAT16;FLOAT16,ND;ND,"""1024""",FLOAT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.348,626,0.031,0.089,0.11,0.316,0.078,0.224,0.073,0.209,0.263,0.000
