Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,390,2.060,1763460501945586.750	,1763460501945588.810	
0,triton_kernel_add,AI_VECTOR_CORE,51,391,1.580,1763460501945804.990	,1763460501945806.570	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,392,2.100,1763460501945970.590	,1763460501945972.690	
0,triton_kernel_add,AI_VECTOR_CORE,51,393,1.740,1763460501946180.030	,1763460501946181.770	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,394,2.060,1763460501946362.230	,1763460501946364.290	
0,triton_kernel_add,AI_VECTOR_CORE,51,395,1.580,1763460501946561.230	,1763460501946562.810	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,396,2.060,1763460501946708.130	,1763460501946710.190	
0,triton_kernel_add,AI_VECTOR_CORE,51,397,1.620,1763460501946919.050	,1763460501946920.670	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,398,2.140,1763460501947077.250	,1763460501947079.390	
0,triton_kernel_add,AI_VECTOR_CORE,51,399,1.620,1763460501947300.930	,1763460501947302.550	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,400,1.780,1763460501947451.910	,1763460501947453.690	
0,triton_kernel_add,AI_VECTOR_CORE,51,401,1.420,1763460501947666.330	,1763460501947667.750	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,402,2.060,1763460501947829.090	,1763460501947831.150	
0,triton_kernel_add,AI_VECTOR_CORE,51,403,1.560,1763460501948043.130	,1763460501948044.690	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,404,1.820,1763460501948226.710	,1763460501948228.530	
0,triton_kernel_add,AI_VECTOR_CORE,51,405,1.420,1763460501948436.650	,1763460501948438.070	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,406,1.680,1763460501948596.070	,1763460501948597.750	
0,triton_kernel_add,AI_VECTOR_CORE,51,407,1.480,1763460501948812.810	,1763460501948814.290	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,408,1.660,1763460501948965.130	,1763460501948966.790	
0,triton_kernel_add,AI_VECTOR_CORE,51,409,1.440,1763460501949177.130	,1763460501949178.570	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,410,1.700,1763460501949329.230	,1763460501949330.930	
0,triton_kernel_add,AI_VECTOR_CORE,51,411,1.500,1763460501949537.770	,1763460501949539.270	
