Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,480,51,aclnnAdd_AddAiCpu_Add,Add,dynamic,AI_CPU,1763460509650629.858	,38.120,0,0,0,NO,"""1024;1024""",INT16;INT16,ND;ND,"""1024""",INT16,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,481,51,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763460509650881.218	,1.680,213.380000,1,0,NO,"""1024;1024""",INT16;INT16,ND;ND,"""1024""",INT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.439,790,0.03,0.068,0.111,0.252,0.149,0.341,0.082,0.187,0.263,0.000
0,4294967295,482,51,aclnnAdd_AddAiCpu_Add,Add,dynamic,AI_CPU,1763460509651118.818	,36.760,235.820000,0,0,NO,"""1024;1024""",INT16;INT16,ND;ND,"""1024""",INT16,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,483,51,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763460509651417.162	,1.696,261.740000,1,0,NO,"""1024;1024""",INT16;INT16,ND;ND,"""1024""",INT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.446,803,0.03,0.067,0.116,0.259,0.151,0.337,0.084,0.188,0.263,0.000
0,4294967295,484,51,aclnnAdd_AddAiCpu_Add,Add,dynamic,AI_CPU,1763460509651654.298	,33.280,235.304000,0,0,NO,"""1024;1024""",INT16;INT16,ND;ND,"""1024""",INT16,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,485,51,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763460509651892.018	,1.720,204.470000,1,0,NO,"""1024;1024""",INT16;INT16,ND;ND,"""1024""",INT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.454,818,0.03,0.066,0.113,0.248,0.161,0.353,0.086,0.188,0.263,0.000
0,4294967295,486,51,aclnnAdd_AddAiCpu_Add,Add,dynamic,AI_CPU,1763460509652155.242	,35.360,261.530000,0,0,NO,"""1024;1024""",INT16;INT16,ND;ND,"""1024""",INT16,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,487,51,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763460509652445.002	,1.736,254.390000,1,0,NO,"""1024;1024""",INT16;INT16,ND;ND,"""1024""",INT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.457,822,0.03,0.066,0.118,0.259,0.156,0.341,0.087,0.191,0.263,0.000
0,4294967295,488,51,aclnnAdd_AddAiCpu_Add,Add,dynamic,AI_CPU,1763460509652677.858	,33.680,231.014000,0,0,NO,"""1024;1024""",INT16;INT16,ND;ND,"""1024""",INT16,ND,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0,4294967295,489,51,triton_kernel_add,triton_kernel_add,static,AI_VECTOR_CORE,1763460509652909.898	,1.680,198.570000,1,0,NO,"""1024;1024""",INT16;INT16,ND;ND,"""1024""",INT16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.466,839,0.03,0.064,0.117,0.251,0.159,0.342,0.084,0.181,0.263,0.000
