Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,aclnnAdd_AddAiCpu_Add,AI_CPU,51,480,38.120,1763460509650629.858	,1763460509650667.978	
0,triton_kernel_add,AI_VECTOR_CORE,51,481,1.680,1763460509650881.218	,1763460509650882.898	
0,aclnnAdd_AddAiCpu_Add,AI_CPU,51,482,36.760,1763460509651118.818	,1763460509651155.578	
0,triton_kernel_add,AI_VECTOR_CORE,51,483,1.696,1763460509651417.162	,1763460509651418.858	
0,aclnnAdd_AddAiCpu_Add,AI_CPU,51,484,33.280,1763460509651654.298	,1763460509651687.578	
0,triton_kernel_add,AI_VECTOR_CORE,51,485,1.720,1763460509651892.018	,1763460509651893.738	
0,aclnnAdd_AddAiCpu_Add,AI_CPU,51,486,35.360,1763460509652155.242	,1763460509652190.602	
0,triton_kernel_add,AI_VECTOR_CORE,51,487,1.736,1763460509652445.002	,1763460509652446.738	
0,aclnnAdd_AddAiCpu_Add,AI_CPU,51,488,33.680,1763460509652677.858	,1763460509652711.538	
0,triton_kernel_add,AI_VECTOR_CORE,51,489,1.680,1763460509652909.898	,1763460509652911.578	
0,aclnnAdd_AddAiCpu_Add,AI_CPU,51,490,34.640,1763460509653148.562	,1763460509653183.202	
0,triton_kernel_add,AI_VECTOR_CORE,51,491,1.736,1763460509653446.362	,1763460509653448.098	
0,aclnnAdd_AddAiCpu_Add,AI_CPU,51,492,33.264,1763460509653698.658	,1763460509653731.922	
0,triton_kernel_add,AI_VECTOR_CORE,51,493,1.664,1763460509653943.058	,1763460509653944.722	
0,aclnnAdd_AddAiCpu_Add,AI_CPU,51,494,29.920,1763460509654209.298	,1763460509654239.218	
0,triton_kernel_add,AI_VECTOR_CORE,51,495,1.760,1763460509654439.658	,1763460509654441.418	
0,aclnnAdd_AddAiCpu_Add,AI_CPU,51,496,30.816,1763460509654688.722	,1763460509654719.538	
0,triton_kernel_add,AI_VECTOR_CORE,51,497,1.696,1763460509654927.082	,1763460509654928.778	
0,aclnnAdd_AddAiCpu_Add,AI_CPU,51,498,34.720,1763460509655165.378	,1763460509655200.098	
0,triton_kernel_add,AI_VECTOR_CORE,51,499,1.704,1763460509655402.418	,1763460509655404.122	
0,aclnnAdd_AddAiCpu_Add,AI_CPU,51,500,33.680,1763460509655648.122	,1763460509655681.802	
0,triton_kernel_add,AI_VECTOR_CORE,51,501,1.680,1763460509655887.218	,1763460509655888.898	
0,aclnnAdd_AddAiCpu_Add,AI_CPU,51,502,35.496,1763460509656115.722	,1763460509656151.218	
0,triton_kernel_add,AI_VECTOR_CORE,51,503,1.704,1763460509656363.498	,1763460509656365.202	
0,aclnnAdd_AddAiCpu_Add,AI_CPU,51,504,32.856,1763460509656598.482	,1763460509656631.338	
0,triton_kernel_add,AI_VECTOR_CORE,51,505,1.736,1763460509656834.442	,1763460509656836.178	
0,aclnnAdd_AddAiCpu_Add,AI_CPU,51,506,28.480,1763460509657091.138	,1763460509657119.618	
0,triton_kernel_add,AI_VECTOR_CORE,51,507,1.760,1763460509657311.258	,1763460509657313.018	
0,aclnnAdd_AddAiCpu_Add,AI_CPU,51,508,28.064,1763460509657538.618	,1763460509657566.682	
0,triton_kernel_add,AI_VECTOR_CORE,51,509,1.736,1763460509657775.522	,1763460509657777.258	
0,aclnnAdd_AddAiCpu_Add,AI_CPU,51,510,33.544,1763460509658011.938	,1763460509658045.482	
0,triton_kernel_add,AI_VECTOR_CORE,51,511,1.776,1763460509658242.922	,1763460509658244.698	
0,aclnnAdd_AddAiCpu_Add,AI_CPU,51,512,32.744,1763460509658473.298	,1763460509658506.042	
0,triton_kernel_add,AI_VECTOR_CORE,51,513,1.680,1763460509658991.578	,1763460509658993.258	
0,aclnnAdd_AddAiCpu_Add,AI_CPU,51,514,34.000,1763460509659737.338	,1763460509659771.338	
0,triton_kernel_add,AI_VECTOR_CORE,51,515,1.656,1763460509660191.802	,1763460509660193.458	
0,aclnnAdd_AddAiCpu_Add,AI_CPU,51,516,34.040,1763460509660458.058	,1763460509660492.098	
0,triton_kernel_add,AI_VECTOR_CORE,51,517,1.640,1763460509660699.562	,1763460509660701.202	
