Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,570,2.480,1763460516850927.290	,1763460516850929.770	
0,triton_kernel_add,AI_VECTOR_CORE,51,571,2.300,1763460516851157.930	,1763460516851160.230	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,572,2.520,1763460516851336.450	,1763460516851338.970	
0,triton_kernel_add,AI_VECTOR_CORE,51,573,2.520,1763460516851561.930	,1763460516851564.450	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,574,2.520,1763460516851714.190	,1763460516851716.710	
0,triton_kernel_add,AI_VECTOR_CORE,51,575,2.300,1763460516851931.510	,1763460516851933.810	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,576,2.500,1763460516852097.950	,1763460516852100.450	
0,triton_kernel_add,AI_VECTOR_CORE,51,577,2.380,1763460516852311.450	,1763460516852313.830	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,578,2.560,1763460516852499.230	,1763460516852501.790	
0,triton_kernel_add,AI_VECTOR_CORE,51,579,2.300,1763460516852716.470	,1763460516852718.770	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,580,2.460,1763460516852882.810	,1763460516852885.270	
0,triton_kernel_add,AI_VECTOR_CORE,51,581,2.280,1763460516853108.190	,1763460516853110.470	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,582,2.420,1763460516853304.770	,1763460516853307.190	
0,triton_kernel_add,AI_VECTOR_CORE,51,583,2.380,1763460516853524.790	,1763460516853527.170	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,584,2.080,1763460516853724.890	,1763460516853726.970	
0,triton_kernel_add,AI_VECTOR_CORE,51,585,2.240,1763460516853958.870	,1763460516853961.110	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,586,2.120,1763460516854140.630	,1763460516854142.750	
0,triton_kernel_add,AI_VECTOR_CORE,51,587,2.220,1763460516854346.230	,1763460516854348.450	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,588,2.000,1763460516854511.510	,1763460516854513.510	
0,triton_kernel_add,AI_VECTOR_CORE,51,589,2.220,1763460516854729.630	,1763460516854731.850	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,590,2.020,1763460516854927.710	,1763460516854929.730	
0,triton_kernel_add,AI_VECTOR_CORE,51,591,2.260,1763460516855141.090	,1763460516855143.350	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,592,2.080,1763460516855301.430	,1763460516855303.510	
0,triton_kernel_add,AI_VECTOR_CORE,51,593,2.300,1763460516855518.630	,1763460516855520.930	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,594,2.220,1763460516855687.150	,1763460516855689.370	
0,triton_kernel_add,AI_VECTOR_CORE,51,595,2.200,1763460516855909.050	,1763460516855911.250	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,596,2.060,1763460516856069.350	,1763460516856071.410	
0,triton_kernel_add,AI_VECTOR_CORE,51,597,2.260,1763460516856291.630	,1763460516856293.890	
0,aclnnAdd_AddAiCore_Add,AI_VECTOR_CORE,51,598,2.200,1763460516856467.150	,1763460516856469.350	
