Device_id,Model ID,Task ID,Stream ID,Op Name,OP Type,OP State,Task Type,Task Start Time(us),Task Duration(us),Task Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
0,4294967295,660,51,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,LogicalOr,dynamic,AI_VECTOR_CORE,1763460523628655.210	,2.040,0,1,0,NO,"""1024;1024""",BOOL;BOOL,ND;ND,"""1024""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.637,1147,0.073,0.114,0.19,0.298,0.129,0.202,0.071,0.111,0.165,0.000
0,4294967295,661,51,triton_kernel_or,triton_kernel_or,static,AI_VECTOR_CORE,1763460523628886.010	,1.360,228.710000,1,0,YES,"""1024;1024""",BOOL;BOOL,ND;ND,"""1024""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.341,613,0.024,0.07,0.112,0.33,0.072,0.21,0.077,0.227,0.263,0.000
0,4294967295,662,51,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,LogicalOr,dynamic,AI_VECTOR_CORE,1763460523629086.830	,2.100,199.390000,1,0,NO,"""1024;1024""",BOOL;BOOL,ND;ND,"""1024""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.659,1186,0.073,0.11,0.188,0.285,0.128,0.194,0.07,0.106,0.157,0.000
0,4294967295,663,51,triton_kernel_or,triton_kernel_or,static,AI_VECTOR_CORE,1763460523629308.670	,1.380,219.900000,1,0,YES,"""1024;1024""",BOOL;BOOL,ND;ND,"""1024""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.348,626,0.024,0.069,0.116,0.334,0.073,0.209,0.075,0.216,0.263,0.000
0,4294967295,664,51,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,LogicalOr,dynamic,AI_VECTOR_CORE,1763460523629480.910	,2.040,170.870000,1,0,NO,"""1024;1024""",BOOL;BOOL,ND;ND,"""1024""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.604,1088,0.073,0.12,0.18,0.298,0.136,0.224,0.078,0.129,0.138,0.000
0,4294967295,665,51,triton_kernel_or,triton_kernel_or,static,AI_VECTOR_CORE,1763460523629692.730	,1.520,209.710000,1,0,YES,"""1024;1024""",BOOL;BOOL,ND;ND,"""1024""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.374,673,0.024,0.064,0.122,0.327,0.075,0.201,0.078,0.208,0.263,0.000
0,4294967295,666,51,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,LogicalOr,dynamic,AI_VECTOR_CORE,1763460523629858.510	,1.840,164.230000,1,0,NO,"""1024;1024""",BOOL;BOOL,ND;ND,"""1024""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.538,969,0.073,0.135,0.193,0.358,0.128,0.238,0.074,0.138,0.146,0.000
0,4294967295,667,51,triton_kernel_or,triton_kernel_or,static,AI_VECTOR_CORE,1763460523630080.270	,1.380,219.910000,1,0,YES,"""1024;1024""",BOOL;BOOL,ND;ND,"""1024""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.338,608,0.024,0.071,0.113,0.336,0.075,0.222,0.073,0.215,0.263,0.000
0,4294967295,668,51,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,LogicalOr,dynamic,AI_VECTOR_CORE,1763460523630264.090	,2.060,182.370000,1,0,NO,"""1024;1024""",BOOL;BOOL,ND;ND,"""1024""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,1134,0.073,0.116,0.2,0.317,0.126,0.2,0.074,0.117,0.176,0.000
0,4294967295,669,51,triton_kernel_or,triton_kernel_or,static,AI_VECTOR_CORE,1763460523630488.270	,1.420,222.190000,1,0,YES,"""1024;1024""",BOOL;BOOL,ND;ND,"""1024""",BOOL,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.344,619,0.024,0.069,0.117,0.339,0.076,0.221,0.071,0.205,0.263,0.000
