Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,51,660,2.040,1763460523628655.210	,1763460523628657.250	
0,triton_kernel_or,AI_VECTOR_CORE,51,661,1.360,1763460523628886.010	,1763460523628887.370	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,51,662,2.100,1763460523629086.830	,1763460523629088.930	
0,triton_kernel_or,AI_VECTOR_CORE,51,663,1.380,1763460523629308.670	,1763460523629310.050	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,51,664,2.040,1763460523629480.910	,1763460523629482.950	
0,triton_kernel_or,AI_VECTOR_CORE,51,665,1.520,1763460523629692.730	,1763460523629694.250	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,51,666,1.840,1763460523629858.510	,1763460523629860.350	
0,triton_kernel_or,AI_VECTOR_CORE,51,667,1.380,1763460523630080.270	,1763460523630081.650	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,51,668,2.060,1763460523630264.090	,1763460523630266.150	
0,triton_kernel_or,AI_VECTOR_CORE,51,669,1.420,1763460523630488.270	,1763460523630489.690	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,51,670,2.000,1763460523630671.850	,1763460523630673.850	
0,triton_kernel_or,AI_VECTOR_CORE,51,671,1.440,1763460523630906.830	,1763460523630908.270	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,51,672,2.080,1763460523631088.630	,1763460523631090.710	
0,triton_kernel_or,AI_VECTOR_CORE,51,673,1.480,1763460523631313.910	,1763460523631315.390	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,51,674,1.760,1763460523631488.470	,1763460523631490.230	
0,triton_kernel_or,AI_VECTOR_CORE,51,675,1.420,1763460523631707.770	,1763460523631709.190	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,51,676,1.620,1763460523631871.110	,1763460523631872.730	
0,triton_kernel_or,AI_VECTOR_CORE,51,677,1.380,1763460523632090.490	,1763460523632091.870	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,51,678,1.640,1763460523632260.190	,1763460523632261.830	
0,triton_kernel_or,AI_VECTOR_CORE,51,679,1.340,1763460523632500.210	,1763460523632501.550	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,51,680,1.660,1763460523632692.250	,1763460523632693.910	
0,triton_kernel_or,AI_VECTOR_CORE,51,681,1.320,1763460523632915.930	,1763460523632917.250	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,51,682,1.780,1763460523633087.770	,1763460523633089.550	
0,triton_kernel_or,AI_VECTOR_CORE,51,683,1.360,1763460523633299.370	,1763460523633300.730	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,51,684,1.720,1763460523633478.450	,1763460523633480.170	
0,triton_kernel_or,AI_VECTOR_CORE,51,685,1.360,1763460523633705.810	,1763460523633707.170	
0,aclnnBitwiseOrTensor_LogicalOrAiCore_LogicalOr,AI_VECTOR_CORE,51,686,1.780,1763460523633881.490	,1763460523633883.270	
